wpid,entrez,symbol,source
WP2324,483,Na_K_ATPase,bioentities_symbol
WP2324,4790,NFKB1,hgnc_symbol
WP2324,4846,NOS3,hgnc_symbol
WP2324,5321,PLA2G4A,hgnc_symbol
WP2324,5579,PRKCB,hgnc_symbol
WP2324,5580,PRKCD,hgnc_symbol
WP2324,5590,PRKCZ,hgnc_symbol
WP2324,5894,RAF1,hgnc_symbol
WP2324,177,RAGE,hgnc_alias_symbol
WP2324,5970,RELA,hgnc_symbol
WP2324,6010,RHO,hgnc_symbol
WP2324,6093,ROCK,bioentities_symbol
WP2324,9475,ROCK,bioentities_symbol
WP2324,6247,RS1,hgnc_symbol
WP2324,25759,SHC,bioentities_symbol
WP2324,399694,SHC,bioentities_symbol
WP2324,53358,SHC,bioentities_symbol
WP2324,6464,SHC,bioentities_symbol
WP2324,6647,SOD1,hgnc_symbol
WP2324,6667,SP1,hgnc_symbol
WP2324,6714,SRC,hgnc_symbol
WP2324,6772,STAT1,hgnc_symbol
WP2324,6774,STAT3,hgnc_symbol
WP2324,6777,STAT5B,hgnc_symbol
WP2324,114609,TIRAP,hgnc_symbol
WP106,18,ABAT,hgnc_symbol
WP106,189,AGXT,hgnc_symbol
WP106,435,ASL,hgnc_symbol
WP106,443,ASPA,hgnc_symbol
WP106,445,ASS,hgnc_prev_symbol
WP106,1615,DARS,hgnc_symbol
WP106,2571,GAD1,hgnc_symbol
WP106,2572,GAD2,hgnc_symbol
WP106,2805,GOT1,hgnc_symbol
WP106,2806,GOT2,hgnc_symbol
WP106,2875,GPT,hgnc_symbol
WP106,5091,PC,hgnc_symbol
WP106,11331,REA,hgnc_alias_symbol
WP2328,54097,2-21,hgnc_alias_symbol
WP2328,11318,AM-R,hgnc_alias_symbol
WP2328,324,APC,hgnc_symbol
WP2328,23743,BHMT2,hgnc_symbol
WP2328,712,C1,bioentities_symbol
WP2328,713,C1,bioentities_symbol
WP2328,714,C1,bioentities_symbol
WP2328,715,C1,bioentities_symbol
WP2328,716,C1,bioentities_symbol
WP2328,718,C3,hgnc_symbol
WP2328,55755,C48,hgnc_alias_symbol
WP2328,727,C5,hgnc_symbol
WP2328,5530,CALCINEURIN,bioentities_symbol
WP2328,5532,CALCINEURIN,bioentities_symbol
WP2328,5533,CALCINEURIN,bioentities_symbol
WP2328,5534,CALCINEURIN,bioentities_symbol
WP2328,5535,CALCINEURIN,bioentities_symbol
WP2328,6363,CCL19,hgnc_symbol
WP2328,6366,CCL21,hgnc_symbol
WP2328,940,CD28,hgnc_symbol
WP2328,920,CD4,hgnc_symbol
WP2328,1604,CD55,hgnc_symbol
WP2328,925,CD8,bioentities_symbol
WP2328,926,CD8,bioentities_symbol
WP2328,1289,COL5,bioentities_symbol
WP2328,1290,COL5,bioentities_symbol
WP2328,50509,COL5,bioentities_symbol
WP2328,1431,CS,hgnc_symbol
WP2328,1459,CSNK2A2,hgnc_symbol
WP2328,6373,CXCL11,hgnc_symbol
WP2328,6387,CXCL12,hgnc_symbol
WP2328,10563,CXCL13,hgnc_symbol
WP2328,4283,CXCL9,hgnc_symbol
WP2328,2551,GABPA,hgnc_symbol
WP2328,2668,GDNF,hgnc_symbol
WP2328,10578,GNLY,hgnc_symbol
WP2328,3002,GZMB,hgnc_symbol
WP2328,3035,HARS,hgnc_symbol
WP2328,3106,HLA-B,hgnc_symbol
WP2328,3108,HLA-DMA,hgnc_symbol
WP2328,3109,HLA-DMB,hgnc_symbol
WP2328,3111,HLA-DOA,hgnc_symbol
WP2328,3112,HLA-DOB,hgnc_symbol
WP2328,3119,HLA-DQB1,hgnc_symbol
WP2328,3122,HLA-DRA,hgnc_symbol
WP2328,3123,HLA-DRB1,hgnc_symbol
WP2328,3127,HLA-DRB5,hgnc_symbol
WP2328,3458,IFNG,hgnc_symbol
WP2328,3596,IL13,hgnc_symbol
WP2328,3559,IL2RA,hgnc_symbol
WP2328,3567,IL5,hgnc_symbol
WP2328,120892,LRRK2,hgnc_symbol
WP2328,100507436,MICA,hgnc_symbol
WP2328,5156,PDGFRA,hgnc_symbol
WP2328,55825,PECR,hgnc_symbol
WP2328,5551,PRF1,hgnc_symbol
WP2328,5590,PRKCZ,hgnc_symbol
WP2328,6955,TCR,bioentities_symbol
WP2328,6957,TCR,bioentities_symbol
WP2328,6964,TCR,bioentities_symbol
WP2328,6965,TCR,bioentities_symbol
WP2328,51497,TH1,hgnc_alias_symbol
WP2328,10376,TUBA1B,hgnc_symbol
WP244,10000,AKT,bioentities_symbol
WP244,207,AKT,bioentities_symbol
WP244,208,AKT,bioentities_symbol
WP244,1072,Cofilin,bioentities_symbol
WP244,1073,Cofilin,bioentities_symbol
WP244,11034,Cofilin,bioentities_symbol
WP244,8292,EAD,hgnc_alias_symbol
WP244,1978,EIF4EBP,bioentities_symbol
WP244,1979,EIF4EBP,bioentities_symbol
WP244,8637,EIF4EBP,bioentities_symbol
WP244,2885,GRB2,hgnc_symbol
WP244,3667,IRS1,hgnc_symbol
WP244,8660,IRS2,hgnc_symbol
WP244,3655,ITGA6,hgnc_symbol
WP244,3691,ITGB4,hgnc_symbol
WP244,284217,LAMA1,hgnc_symbol
WP244,3908,LAMA2,hgnc_symbol
WP244,3909,LAMA3,hgnc_symbol
WP244,3911,LAMA5,hgnc_symbol
WP244,3913,LAMB2,hgnc_symbol
WP244,3914,LAMB3,hgnc_symbol
WP244,3915,LAMC1,hgnc_symbol
WP244,3918,LAMC2,hgnc_symbol
WP244,1432,MAPK14,hgnc_symbol
WP244,5595,MAPK3,hgnc_symbol
WP244,5295,PIK3R1,hgnc_symbol
WP244,5296,PIK3R2,hgnc_symbol
WP244,5879,RAC1,hgnc_symbol
WP244,387,RHOA,hgnc_symbol
WP244,6654,SOS1,hgnc_symbol
WP244,6714,SRC,hgnc_symbol
WP2059,317,APAF1,hgnc_symbol
WP2059,322,APBB1,hgnc_symbol
WP2059,51107,APH1A,hgnc_symbol
WP2059,348,APOE,hgnc_symbol
WP2059,351,APP,hgnc_symbol
WP2059,8883,APP-BP1,hgnc_alias_symbol
WP2059,22926,ATF6,hgnc_symbol
WP2059,487,ATP2A1,hgnc_symbol
WP2059,488,ATP2A2,hgnc_symbol
WP2059,489,ATP2A3,hgnc_symbol
WP2059,23621,BACE1,hgnc_symbol
WP2059,572,BAD,hgnc_symbol
WP2059,775,CACNA1C,hgnc_symbol
WP2059,776,CACNA1D,hgnc_symbol
WP2059,778,CACNA1F,hgnc_symbol
WP2059,779,CACNA1S,hgnc_symbol
WP2059,805,CALM2,hgnc_symbol
WP2059,810,CALML3,hgnc_symbol
WP2059,51806,CALML5,hgnc_symbol
WP2059,823,CAPN1,hgnc_symbol
WP2059,824,CAPN2,hgnc_symbol
WP2059,100506742,CASP12,hgnc_symbol
WP2059,836,CASP3,hgnc_symbol
WP2059,63928,CHP2,hgnc_symbol
WP2059,54205,CYCS,hgnc_symbol
WP2059,8772,FADD,hgnc_symbol
WP2059,10316,GPC-R,hgnc_alias_symbol
WP2059,2903,GRIN2A,hgnc_symbol
WP2059,2905,GRIN2C,hgnc_symbol
WP2059,2906,GRIN2D,hgnc_symbol
WP2059,51107,Gamma_secretase,bioentities_symbol
WP2059,55851,Gamma_secretase,bioentities_symbol
WP2059,5663,Gamma_secretase,bioentities_symbol
WP2059,2932,GSK3B,hgnc_symbol
WP2059,3028,HSD17B10,hgnc_symbol
WP2059,4023,LPL,hgnc_symbol
WP2059,4035,LRP1,hgnc_symbol
WP2059,5594,MAPK1,hgnc_symbol
WP2059,5595,MAPK3,hgnc_symbol
WP2059,23385,NCSTN,hgnc_symbol
WP2059,4842,NOS1,hgnc_symbol
WP2059,23236,PLCB1,hgnc_symbol
WP2059,5331,PLCB3,hgnc_symbol
WP2059,5530,PPP3CA,hgnc_symbol
WP2059,5532,PPP3CB,hgnc_symbol
WP2059,5533,PPP3CC,hgnc_symbol
WP2059,5534,PPP3R1,hgnc_symbol
WP2059,5535,PPP3R2,hgnc_symbol
WP2059,5663,PSEN1,hgnc_symbol
WP2059,5664,PSEN2,hgnc_symbol
WP2059,55851,PSENEN,hgnc_symbol
WP2059,6622,SNCA,hgnc_symbol
WP2059,7124,TNF,hgnc_symbol
WP2059,7132,TNFRSF1A,hgnc_symbol
WP2059,7157,TP53,hgnc_symbol
WP521,4236,AMP,hgnc_alias_symbol
WP521,10249,GLYAT,hgnc_symbol
WP521,92292,GLYATL1,hgnc_symbol
WP521,219970,GLYATL2,hgnc_symbol
WP715,4236,AMP,hgnc_alias_symbol
WP3925,34,ACADM,hgnc_symbol
WP3925,50,ACO2,hgnc_symbol
WP3925,126,ADH1C,hgnc_symbol
WP3925,127,ADH4,hgnc_symbol
WP3925,128,ADH5,hgnc_symbol
WP3925,131,ADH7,hgnc_symbol
WP3925,5832,ALDH18A1,hgnc_symbol
WP3925,216,ALDH1A1,hgnc_symbol
WP3925,501,ALDH7A1,hgnc_symbol
WP3925,383,ARG1,hgnc_symbol
WP3925,384,ARG2,hgnc_symbol
WP3925,586,BCAT1,hgnc_symbol
WP3925,635,BHMT,hgnc_symbol
WP3925,1962,EHHADH,hgnc_symbol
WP3925,10056,FARSB,hgnc_symbol
WP3925,57818,G6PC2,hgnc_symbol
WP3925,2746,GLUD1,hgnc_symbol
WP3925,2805,GOT1,hgnc_symbol
WP3925,3033,HADH,hgnc_symbol
WP3925,11112,HIBADH,hgnc_symbol
WP3925,26275,HIBCH,hgnc_symbol
WP3925,3155,HMGCL,hgnc_symbol
WP3925,3158,HMGCS2,hgnc_symbol
WP3925,3176,HNMT,hgnc_symbol
WP3925,23395,LARS2,hgnc_symbol
WP3925,3939,LDHA,hgnc_symbol
WP3925,4128,MAOA,hgnc_symbol
WP3925,92935,MARS2,hgnc_symbol
WP3925,56922,MCCC1,hgnc_symbol
WP3925,4190,MDH1,hgnc_symbol
WP3925,4191,MDH2,hgnc_symbol
WP3925,4357,MPST,hgnc_symbol
WP3925,4953,ODC1,hgnc_symbol
WP3925,4967,OGDH,hgnc_symbol
WP3925,5091,PC,hgnc_symbol
WP3925,5160,PDHA1,hgnc_symbol
WP3925,8050,PDHX,hgnc_symbol
WP3925,5166,PDK4,hgnc_symbol
WP3925,6389,SDHA,hgnc_symbol
WP3925,8802,SUCLG1,hgnc_symbol
WP3925,7054,TH,hgnc_symbol
WP3925,102723796,TLE,bioentities_symbol
WP3925,7088,TLE,bioentities_symbol
WP3925,7089,TLE,bioentities_symbol
WP3925,7090,TLE,bioentities_symbol
WP3925,7091,TLE,bioentities_symbol
WP3925,79816,TLE,bioentities_symbol
WP3925,7407,VARS,hgnc_symbol
WP3925,7453,WARS,hgnc_symbol
WP1403,1978,4E-BP1,hgnc_alias_symbol
WP1403,27239,A-2,hgnc_alias_symbol
WP1403,597,ACC-1,hgnc_alias_symbol
WP1403,597,ACC-2,hgnc_alias_symbol
WP1403,51094,ADIPOR1,hgnc_symbol
WP1403,79602,ADIPOR2,hgnc_symbol
WP1403,147,ADRA1B,hgnc_symbol
WP1403,208,AKT2,hgnc_symbol
WP1403,4236,AMP,hgnc_alias_symbol
WP1403,5563,AMPKa2,hgnc_alias_symbol
WP1403,84254,CAMKK1,hgnc_symbol
WP1403,10645,CAMKK2,hgnc_symbol
WP1403,1374,CPT1A,hgnc_symbol
WP1403,126129,CPT1C,hgnc_symbol
WP1403,890,Cyclin-A2,bioentities_symbol
WP1403,1938,EEF2,hgnc_symbol
WP1403,29904,EEF2K,hgnc_symbol
WP1403,56731,GEF,hgnc_alias_symbol
WP1403,6517,GLUT4,hgnc_prev_symbol
WP1403,2998,GYS2,hgnc_symbol
WP1403,3172,HNF4A,hgnc_symbol
WP1403,3991,HSL,hgnc_alias_symbol
WP1403,3643,INSR,hgnc_symbol
WP1403,3953,LEPR,hgnc_symbol
WP1403,6794,LKB1,hgnc_alias_symbol
WP1403,100271849,MEF2B,hgnc_symbol
WP1403,51719,MO25,hgnc_alias_symbol
WP1403,2475,MTOR,hgnc_symbol
WP1403,7157,p53,hgnc_alias_symbol
WP1403,6198,p70(S6K)-alpha,hgnc_alias_symbol
WP1403,6199,p70S6Kb,hgnc_alias_symbol
WP1403,5295,p85-ALPHA,hgnc_alias_symbol
WP1403,5296,P85B,hgnc_alias_symbol
WP1403,10891,PGC1,hgnc_alias_symbol
WP1403,146850,PI3K,bioentities_symbol
WP1403,23533,PI3K,bioentities_symbol
WP1403,30849,PI3K,bioentities_symbol
WP1403,5290,PI3K,bioentities_symbol
WP1403,5291,PI3K,bioentities_symbol
WP1403,5293,PI3K,bioentities_symbol
WP1403,5294,PI3K,bioentities_symbol
WP1403,8503,PI3K,bioentities_symbol
WP1403,23236,PLCB1,hgnc_symbol
WP1403,5567,PRKACB,hgnc_symbol
WP1403,5568,PRKACG,hgnc_symbol
WP1403,57521,raptor,hgnc_alias_symbol
WP1403,6720,SREBP1,hgnc_alias_symbol
WP1403,92335,STRADA,hgnc_symbol
WP1403,200186,TORC2,hgnc_alias_symbol
WP1403,7248,TSC1,hgnc_symbol
WP1403,7249,TSC2,hgnc_symbol
WP3678,7852,CXCR4,hgnc_symbol
WP3678,9595,CYTIP,hgnc_symbol
WP3678,10316,GPC-R,hgnc_alias_symbol
WP3678,2034,HIF2A,hgnc_alias_symbol
WP3678,51176,LEF1,hgnc_symbol
WP3678,4851,Notch,bioentities_symbol
WP3678,4853,Notch,bioentities_symbol
WP3678,4854,Notch,bioentities_symbol
WP3678,4855,Notch,bioentities_symbol
WP3678,150921,OUT,hgnc_alias_symbol
WP3678,10631,periostin,hgnc_alias_symbol
WP3678,146850,PI3K,bioentities_symbol
WP3678,23533,PI3K,bioentities_symbol
WP3678,30849,PI3K,bioentities_symbol
WP3678,5290,PI3K,bioentities_symbol
WP3678,5291,PI3K,bioentities_symbol
WP3678,5293,PI3K,bioentities_symbol
WP3678,5294,PI3K,bioentities_symbol
WP3678,8503,PI3K,bioentities_symbol
WP3678,6714,SRC,hgnc_symbol
WP3678,6932,TCF7,hgnc_symbol
WP3678,83439,TCF7L1,hgnc_symbol
WP3678,6934,TCF7L2,hgnc_symbol
WP3678,3371,TNC,hgnc_symbol
WP3678,55840,TRAITS,hgnc_alias_symbol
WP3678,7412,VCAM1,hgnc_symbol
WP3678,7422,VEGFA,hgnc_symbol
WP3678,7428,VHL,hgnc_symbol
WP3678,51384,WNT,bioentities_symbol
WP3678,54361,WNT,bioentities_symbol
WP3678,7471,WNT,bioentities_symbol
WP3678,7472,WNT,bioentities_symbol
WP3678,7473,WNT,bioentities_symbol
WP3678,7474,WNT,bioentities_symbol
WP3678,7475,WNT,bioentities_symbol
WP3678,7476,WNT,bioentities_symbol
WP3678,7477,WNT,bioentities_symbol
WP3678,7478,WNT,bioentities_symbol
WP3678,7479,WNT,bioentities_symbol
WP3678,7480,WNT,bioentities_symbol
WP3678,7481,WNT,bioentities_symbol
WP3678,7482,WNT,bioentities_symbol
WP3678,7483,WNT,bioentities_symbol
WP3678,7484,WNT,bioentities_symbol
WP3678,80326,WNT,bioentities_symbol
WP3678,81029,WNT,bioentities_symbol
WP3678,89780,WNT,bioentities_symbol
WP2447,57679,ALS2,hgnc_symbol
WP2447,317,APAF1,hgnc_symbol
WP2447,4217,ASK1,hgnc_alias_symbol
WP2447,572,BAD,hgnc_symbol
WP2447,581,BAX,hgnc_symbol
WP2447,596,BCL2,hgnc_symbol
WP2447,598,BCL2L1,hgnc_symbol
WP2447,834,CASP1,hgnc_symbol
WP2447,100506742,CASP12,hgnc_symbol
WP2447,836,CASP3,hgnc_symbol
WP2447,842,CASP9,hgnc_symbol
WP2447,847,CAT,hgnc_symbol
WP2447,9973,CCS,hgnc_symbol
WP2447,1616,DAXX,hgnc_symbol
WP2447,79139,derlin-1,hgnc_alias_symbol
WP2447,6506,EAAT2,hgnc_alias_symbol
WP2447,2876,GPX1,hgnc_symbol
WP2447,2890,GRIA1,hgnc_symbol
WP2447,1432,MAPK,bioentities_symbol
WP2447,5594,MAPK,bioentities_symbol
WP2447,5595,MAPK,bioentities_symbol
WP2447,5599,MAPK,bioentities_symbol
WP2447,5600,MAPK,bioentities_symbol
WP2447,5601,MAPK,bioentities_symbol
WP2447,5602,MAPK,bioentities_symbol
WP2447,5603,MAPK,bioentities_symbol
WP2447,6300,MAPK,bioentities_symbol
WP2447,54964,MENT,hgnc_alias_symbol
WP2447,5606,MKK3,hgnc_alias_symbol
WP2447,5608,MKK6,hgnc_alias_symbol
WP2447,4744,NEFH,hgnc_symbol
WP2447,4747,NEFL,hgnc_symbol
WP2447,4741,NEFM,hgnc_symbol
WP2447,4842,NOS1,hgnc_symbol
WP2447,1432,p38,bioentities_symbol
WP2447,5600,p38,bioentities_symbol
WP2447,5603,p38,bioentities_symbol
WP2447,6300,p38,bioentities_symbol
WP2447,5530,PPP3CA,hgnc_symbol
WP2447,5532,PPP3CB,hgnc_symbol
WP2447,5533,PPP3CC,hgnc_symbol
WP2447,5630,PRPH,hgnc_symbol
WP2447,5868,RAB5,hgnc_prev_symbol
WP2447,5868,RAB5A,hgnc_symbol
WP2447,5879,RAC1,hgnc_symbol
WP2447,6647,SOD1,hgnc_symbol
WP2447,7124,TNF-alpha,hgnc_alias_symbol
WP2447,10452,TOM40,hgnc_alias_symbol
WP2447,7157,TP53,hgnc_symbol
WP2447,6955,TRA,hgnc_symbol
WP138,58,Actin,bioentities_symbol
WP138,59,Actin,bioentities_symbol
WP138,60,Actin,bioentities_symbol
WP138,70,Actin,bioentities_symbol
WP138,71,Actin,bioentities_symbol
WP138,72,Actin,bioentities_symbol
WP138,166,AES,hgnc_symbol
WP138,672,BRCA1,hgnc_symbol
WP138,811,CALR,hgnc_symbol
WP138,10498,CARM1,hgnc_symbol
WP138,898,CCNE1,hgnc_symbol
WP138,1026,CDKN1A,hgnc_symbol
WP138,667,DST,hgnc_symbol
WP138,8292,EAD,hgnc_alias_symbol
WP138,1956,EGFR,hgnc_symbol
WP138,2119,ETV5,hgnc_symbol
WP138,2288,FKBP4,hgnc_symbol
WP138,2308,FOXO1,hgnc_symbol
WP138,2932,GSK3B,hgnc_symbol
WP138,3065,HDAC1,hgnc_symbol
WP138,354,KLK3,hgnc_symbol
WP138,3984,LIMK,hgnc_alias_symbol
WP138,270,MAD,hgnc_alias_symbol
WP138,4193,MDM2,hgnc_symbol
WP138,11143,MYST2,hgnc_prev_symbol
WP138,10499,NCOA,bioentities_symbol
WP138,8202,NCOA,bioentities_symbol
WP138,8648,NCOA,bioentities_symbol
WP138,10499,NCOA2,hgnc_symbol
WP138,8202,NCOA3,hgnc_symbol
WP138,7182,NR2C2,hgnc_symbol
WP138,56924,PAK6,hgnc_symbol
