wpid,entrez,symbol,source
WP3879,10000,AKT,bioentities_symbol
WP3879,207,AKT,bioentities_symbol
WP3879,208,AKT,bioentities_symbol
WP3879,4236,AMP,hgnc_alias_symbol
WP3879,51422,AMPK,bioentities_symbol
WP3879,53632,AMPK,bioentities_symbol
WP3879,5562,AMPK,bioentities_symbol
WP3879,5563,AMPK,bioentities_symbol
WP3879,5564,AMPK,bioentities_symbol
WP3879,5565,AMPK,bioentities_symbol
WP3879,5571,AMPK,bioentities_symbol
WP3879,1978,EIF4EBP1,hgnc_symbol
WP3879,5594,ERK,bioentities_symbol
WP3879,5595,ERK,bioentities_symbol
WP3879,5595,ERK1,hgnc_alias_symbol
WP3879,5594,ERK2,hgnc_alias_symbol
WP3879,5604,MEK1,hgnc_alias_symbol
WP3879,5605,MEK2,hgnc_alias_symbol
WP3879,5606,MKK3,hgnc_alias_symbol
WP3879,5608,MKK6,hgnc_alias_symbol
WP3879,8569,MNK1,hgnc_alias_symbol
WP3879,2872,MNK2,hgnc_alias_symbol
WP3879,2475,MTOR,hgnc_symbol
WP3879,55872,PBK,hgnc_symbol
WP3879,146850,PI3K,bioentities_symbol
WP3879,23533,PI3K,bioentities_symbol
WP3879,30849,PI3K,bioentities_symbol
WP3879,5290,PI3K,bioentities_symbol
WP3879,5291,PI3K,bioentities_symbol
WP3879,5293,PI3K,bioentities_symbol
WP3879,5294,PI3K,bioentities_symbol
WP3879,8503,PI3K,bioentities_symbol
WP3879,369,RAF,bioentities_symbol
WP3879,5894,RAF,bioentities_symbol
WP3879,673,RAF,bioentities_symbol
WP3879,7248,TSC,bioentities_symbol
WP3879,7249,TSC,bioentities_symbol
WP554,1636,ACE,hgnc_symbol
WP554,59272,ACE2,hgnc_symbol
WP554,183,AGT,hgnc_symbol
WP554,185,AGTR1,hgnc_symbol
WP554,186,AGTR2,hgnc_symbol
WP554,10159,ATP6AP2,hgnc_symbol
WP554,623,BDKRB1,hgnc_symbol
WP554,624,BDKRB2,hgnc_symbol
WP554,1215,CMA1,hgnc_symbol
WP554,1511,CTSG,hgnc_symbol
WP554,1585,CYP11B2,hgnc_symbol
WP554,3827,KNG1,hgnc_symbol
WP554,4142,MAS1,hgnc_symbol
WP554,4846,NOS3,hgnc_symbol
WP554,4306,NR3C2,hgnc_symbol
WP554,5972,REN,hgnc_symbol
WP554,7040,TGFB1,hgnc_symbol
WP528,43,ACHE,hgnc_symbol
WP528,1119,CHKA,hgnc_symbol
WP528,5160,PDHA1,hgnc_symbol
WP528,5161,PDHA2,hgnc_symbol
WP528,10400,PEMT,hgnc_symbol
WP4233,367,AR,hgnc_symbol
WP4233,1571,CYP2E1,hgnc_symbol
WP236,123,ADFP,hgnc_prev_symbol
WP236,9370,ADIPOQ,hgnc_symbol
WP236,80339,ADPN,hgnc_prev_symbol
WP236,10555,AGPAT2,hgnc_symbol
WP236,183,AGT,hgnc_symbol
WP236,650,BMP2,hgnc_symbol
WP236,26580,BSCL2,hgnc_symbol
WP236,55847,C10orf70,hgnc_prev_symbol
WP236,1026,CDKN1A,hgnc_symbol
WP236,1050,CEBPA,hgnc_symbol
WP236,1051,CEBPB,hgnc_symbol
WP236,1052,CEBPD,hgnc_symbol
WP236,1271,CNTFR,hgnc_symbol
WP236,1385,CREB1,hgnc_symbol
WP236,1499,CTNNB1,hgnc_symbol
WP236,10658,CUGBP1,hgnc_prev_symbol
WP236,1592,CYP26A1,hgnc_symbol
WP236,56603,CYP26B1,hgnc_symbol
WP236,1649,DDIT3,hgnc_symbol
WP236,8788,DLK1,hgnc_symbol
WP236,1855,DVL1,hgnc_symbol
WP236,1869,E2F1,hgnc_symbol
WP236,1959,EGR2,hgnc_symbol
WP236,2034,EPAS1,hgnc_symbol
WP236,2303,FOXC2,hgnc_symbol
WP236,2308,FOXO1A,hgnc_prev_symbol
WP236,2487,FRZB,hgnc_symbol
WP236,8321,FZD1,hgnc_symbol
WP236,1647,GADD45A,hgnc_symbol
WP236,4616,GADD45B,hgnc_symbol
WP236,2624,GATA2,hgnc_symbol
WP236,2625,GATA3,hgnc_symbol
WP236,2626,GATA4,hgnc_symbol
WP236,2662,GDF10,hgnc_symbol
WP236,2971,GTF3A,hgnc_symbol
WP236,3091,HIF1A,hgnc_symbol
WP236,3159,HMGA1,hgnc_symbol
WP236,28999,KLF15,hgnc_symbol
WP236,1316,KLF6,hgnc_symbol
WP236,4000,LMNA,hgnc_symbol
WP236,9663,LPIN2,hgnc_symbol
WP236,64900,LPIN3,hgnc_symbol
WP236,4205,MEF2A,hgnc_symbol
WP236,100271849,MEF2B,hgnc_symbol
WP236,4208,MEF2C,hgnc_symbol
WP236,4209,MEF2D,hgnc_symbol
WP236,8648,NCOA1,hgnc_symbol
WP236,10499,NCOA2,hgnc_symbol
WP236,9611,NCOR1,hgnc_symbol
WP236,9612,NCOR2,hgnc_symbol
WP236,4692,NDN,hgnc_symbol
WP236,10062,NR1H3,hgnc_symbol
WP236,7025,NR2F1,hgnc_symbol
WP236,2908,NR3C1,hgnc_symbol
WP236,10135,PBEF1,hgnc_prev_symbol
WP236,5105,PCK1,hgnc_symbol
WP236,5106,PCK2,hgnc_symbol
WP236,5465,PPARA,hgnc_symbol
WP236,5467,PPARD,hgnc_symbol
WP236,5468,PPARG,hgnc_symbol
WP236,10891,PPARGC1A,hgnc_symbol
WP236,5740,PTGIS,hgnc_symbol
WP236,5914,RARA,hgnc_symbol
WP236,5933,RBL1,hgnc_symbol
WP236,56729,RETN,hgnc_symbol
WP236,6095,RORA,hgnc_symbol
WP236,6258,RXRG,hgnc_symbol
WP236,5054,SERPINE1,hgnc_symbol
WP236,6424,SFRP4,hgnc_symbol
WP236,6517,SLC2A4,hgnc_symbol
WP236,4088,SMAD3,hgnc_symbol
WP236,8651,SOCS1,hgnc_symbol
WP236,9021,SOCS3,hgnc_symbol
WP236,6695,SPOCK,hgnc_prev_symbol
WP236,6720,SREBF1,hgnc_symbol
WP236,6772,STAT1,hgnc_symbol
WP236,6773,STAT2,hgnc_symbol
WP236,6774,STAT3,hgnc_symbol
WP236,6776,STAT5A,hgnc_symbol
WP236,6777,STAT5B,hgnc_symbol
WP236,6778,STAT6,hgnc_symbol
WP236,7040,TGFB1,hgnc_symbol
WP236,57761,TRIB3,hgnc_symbol
WP236,7291,TWIST1,hgnc_symbol
WP236,7350,UCP1,hgnc_symbol
WP236,7471,WNT1,hgnc_symbol
WP236,7480,WNT10B,hgnc_symbol
WP236,81029,WNT5B,hgnc_symbol
WP236,25937,WWTR1,hgnc_symbol
WP236,10269,ZMPSTE24,hgnc_symbol
WP699,54097,2-21,hgnc_alias_symbol
WP699,8574,AKR7A2,hgnc_symbol
WP699,22977,AKR7A3,hgnc_symbol
WP699,1544,CYP1A2,hgnc_symbol
WP699,1553,CYP2A13,hgnc_symbol
WP699,1576,CYP3A4,hgnc_symbol
WP699,2052,EPHX1,hgnc_symbol
WP699,2944,GSTM1,hgnc_symbol
WP2324,81857,ACID1,hgnc_alias_symbol
WP2324,58,Actin,bioentities_symbol
WP2324,59,Actin,bioentities_symbol
WP2324,60,Actin,bioentities_symbol
WP2324,70,Actin,bioentities_symbol
WP2324,71,Actin,bioentities_symbol
WP2324,72,Actin,bioentities_symbol
WP2324,207,AKT1,hgnc_symbol
WP2324,249,ALPL,hgnc_symbol
WP2324,26503,AST,hgnc_alias_symbol
WP2324,1386,ATF2,hgnc_symbol
WP2324,836,CASP3,hgnc_symbol
WP2324,841,CASP8,hgnc_symbol
WP2324,842,CASP9,hgnc_symbol
WP2324,1147,CHUK,hgnc_symbol
WP2324,613,CML,hgnc_alias_symbol
WP2324,54205,CYCS,hgnc_symbol
WP2324,1650,DDOST,hgnc_symbol
WP2324,1729,DIAPH1,hgnc_symbol
WP2324,1950,EGF,hgnc_symbol
WP2324,4303,FOXO4,hgnc_symbol
WP2324,5921,GAP,hgnc_alias_symbol
WP2324,3091,HIF1A,hgnc_symbol
WP2324,3630,INS,hgnc_symbol
WP2324,51135,IRAK4,hgnc_symbol
WP2324,3717,JAK2,hgnc_symbol
WP2324,3725,JUN,hgnc_symbol
WP2324,7462,LAB,hgnc_alias_symbol
WP2324,3958,LGALS3,hgnc_symbol
WP2324,5604,MAP2K,bioentities_symbol
WP2324,5605,MAP2K,bioentities_symbol
WP2324,5606,MAP2K,bioentities_symbol
WP2324,5607,MAP2K,bioentities_symbol
WP2324,5608,MAP2K,bioentities_symbol
WP2324,5609,MAP2K,bioentities_symbol
WP2324,6416,MAP2K,bioentities_symbol
WP2324,4312,MMP1,hgnc_symbol
WP2324,4313,MMP2,hgnc_symbol
WP2324,4316,MMP7,hgnc_symbol
WP2324,4318,MMP9,hgnc_symbol
WP2324,4615,MYD88,hgnc_symbol
WP2324,23439,Na_K_ATPase,bioentities_symbol
WP2324,476,Na_K_ATPase,bioentities_symbol
WP2324,477,Na_K_ATPase,bioentities_symbol
WP2324,478,Na_K_ATPase,bioentities_symbol
WP2324,480,Na_K_ATPase,bioentities_symbol
WP2324,481,Na_K_ATPase,bioentities_symbol
WP2324,482,Na_K_ATPase,bioentities_symbol
