pmcid,entrez,symbol,source
PMC100003,367,AR,hgnc_symbol
PMC100003,660,ETK,hgnc_alias_symbol
PMC100003,5747,FAK,hgnc_alias_symbol
PMC100003,6714,SRC,hgnc_symbol
PMC104410,1978,4E-BP1,hgnc_alias_symbol
PMC104410,2931,GSK3,bioentities_symbol
PMC104410,2932,GSK3,bioentities_symbol
PMC104410,5266,PI3,hgnc_symbol
PMC104410,146850,PI3K,bioentities_symbol
PMC104410,23533,PI3K,bioentities_symbol
PMC104410,30849,PI3K,bioentities_symbol
PMC104410,5290,PI3K,bioentities_symbol
PMC104410,5291,PI3K,bioentities_symbol
PMC104410,5293,PI3K,bioentities_symbol
PMC104410,5294,PI3K,bioentities_symbol
PMC104410,8503,PI3K,bioentities_symbol
PMC104410,207,PKB,hgnc_alias_symbol
PMC104410,6198,S6K1,hgnc_alias_symbol
PMC1064894,3439,IFN,hgnc_alias_symbol
PMC1064894,3661,IRF3,hgnc_symbol
PMC1064894,4615,MYD88,hgnc_symbol
PMC1064894,4790,NF-kappaB,hgnc_alias_symbol
PMC1064894,2444,RAK,hgnc_alias_symbol
PMC1064894,114609,TIRAP,hgnc_symbol
PMC1064894,7096,TLR1,hgnc_symbol
PMC1064894,7097,TLR2,hgnc_symbol
PMC1064894,7098,TLR3,hgnc_symbol
PMC1064894,7099,TLR4,hgnc_symbol
PMC1064894,7100,TLR5,hgnc_symbol
PMC1064894,10333,TLR6,hgnc_symbol
PMC1064894,51284,TLR7,hgnc_symbol
PMC1064894,54106,TLR9,hgnc_symbol
PMC1064894,7189,TRAF6,hgnc_symbol
PMC1083689,1017,CDK,bioentities_symbol
PMC1083689,1018,CDK,bioentities_symbol
PMC1083689,1019,CDK,bioentities_symbol
PMC1083689,1020,CDK,bioentities_symbol
PMC1083689,1021,CDK,bioentities_symbol
PMC1083689,1022,CDK,bioentities_symbol
PMC1083689,1024,CDK,bioentities_symbol
PMC1083689,1025,CDK,bioentities_symbol
PMC1083689,23097,CDK,bioentities_symbol
PMC1083689,23552,CDK,bioentities_symbol
PMC1083689,344387,CDK,bioentities_symbol
PMC1083689,51265,CDK,bioentities_symbol
PMC1083689,5127,CDK,bioentities_symbol
PMC1083689,5128,CDK,bioentities_symbol
PMC1083689,5129,CDK,bioentities_symbol
PMC1083689,51755,CDK,bioentities_symbol
PMC1083689,5218,CDK,bioentities_symbol
PMC1083689,65061,CDK,bioentities_symbol
PMC1083689,6792,CDK,bioentities_symbol
PMC1083689,728642,CDK,bioentities_symbol
PMC1083689,8558,CDK,bioentities_symbol
PMC1083689,8621,CDK,bioentities_symbol
PMC1083689,8814,CDK,bioentities_symbol
PMC1083689,8999,CDK,bioentities_symbol
PMC1083689,983,CDK,bioentities_symbol
PMC1083689,984,CDK,bioentities_symbol
PMC1083689,10488,CREB,bioentities_symbol
PMC1083689,1385,CREB,bioentities_symbol
PMC1083689,1386,CREB,bioentities_symbol
PMC1083689,1390,CREB,bioentities_symbol
PMC1083689,148327,CREB,bioentities_symbol
PMC1083689,466,CREB,bioentities_symbol
PMC1083689,64764,CREB,bioentities_symbol
PMC1083689,84699,CREB,bioentities_symbol
PMC1083689,90993,CREB,bioentities_symbol
PMC1083689,9586,CREB,bioentities_symbol
PMC1083689,2885,GRB2,hgnc_symbol
PMC1083689,1432,MAPK,bioentities_symbol
PMC1083689,5594,MAPK,bioentities_symbol
PMC1083689,5595,MAPK,bioentities_symbol
PMC1083689,5599,MAPK,bioentities_symbol
PMC1083689,5600,MAPK,bioentities_symbol
PMC1083689,5601,MAPK,bioentities_symbol
PMC1083689,5602,MAPK,bioentities_symbol
PMC1083689,5603,MAPK,bioentities_symbol
PMC1083689,6300,MAPK,bioentities_symbol
PMC1083689,5604,MEK,bioentities_symbol
PMC1083689,5605,MEK,bioentities_symbol
PMC1083689,150094,msk,hgnc_alias_symbol
PMC1083689,146850,PI3K,bioentities_symbol
PMC1083689,23533,PI3K,bioentities_symbol
PMC1083689,30849,PI3K,bioentities_symbol
PMC1083689,5290,PI3K,bioentities_symbol
PMC1083689,5291,PI3K,bioentities_symbol
PMC1083689,5293,PI3K,bioentities_symbol
PMC1083689,5294,PI3K,bioentities_symbol
PMC1083689,8503,PI3K,bioentities_symbol
PMC1083689,27330,RSK,bioentities_symbol
PMC1083689,6195,RSK,bioentities_symbol
PMC1083689,6196,RSK,bioentities_symbol
PMC1083689,6197,RSK,bioentities_symbol
PMC1083689,6198,RSK,bioentities_symbol
PMC1083689,6199,RSK,bioentities_symbol
PMC1083689,8986,RSK,bioentities_symbol
PMC1083689,9252,RSK,bioentities_symbol
PMC1083689,6654,SOS,bioentities_symbol
PMC1083689,6655,SOS,bioentities_symbol
PMC1087802,51654,C42,hgnc_alias_symbol
PMC1087802,9815,GIT2,hgnc_symbol
PMC1087802,23236,PLC-I,hgnc_alias_symbol
PMC1087802,6783,STE,hgnc_prev_symbol
PMC1088314,7040,CED,hgnc_alias_symbol
PMC1088314,4609,MYC,hgnc_symbol
PMC1091709,1147,IKK,bioentities_symbol
PMC1091709,3551,IKK,bioentities_symbol
PMC1091709,8517,IKK,bioentities_symbol
PMC1091709,7098,TLR3,hgnc_symbol
PMC1091762,1029,ARF,hgnc_alias_symbol
PMC1091762,9466,CRL1,hgnc_alias_symbol
PMC1129099,948,FAT,hgnc_alias_symbol
PMC1140591,3091,HIF1,bioentities_symbol
PMC1140591,405,HIF1,bioentities_symbol
PMC1140591,1432,MAPK,bioentities_symbol
PMC1140591,5594,MAPK,bioentities_symbol
PMC1140591,5595,MAPK,bioentities_symbol
PMC1140591,5599,MAPK,bioentities_symbol
PMC1140591,5600,MAPK,bioentities_symbol
PMC1140591,5601,MAPK,bioentities_symbol
PMC1140591,5602,MAPK,bioentities_symbol
PMC1140591,5603,MAPK,bioentities_symbol
PMC1140591,6300,MAPK,bioentities_symbol
PMC1140591,5606,MKK3,hgnc_alias_symbol
PMC1140591,5608,MKK6,hgnc_alias_symbol
PMC1140591,1432,p38,bioentities_symbol
PMC1140591,5600,p38,bioentities_symbol
PMC1140591,5603,p38,bioentities_symbol
PMC1140591,6300,p38,bioentities_symbol
PMC1140591,7428,VHL,hgnc_symbol
PMC1142215,58,Actin,bioentities_symbol
PMC1142215,59,Actin,bioentities_symbol
PMC1142215,60,Actin,bioentities_symbol
PMC1142215,70,Actin,bioentities_symbol
PMC1142215,71,Actin,bioentities_symbol
PMC1142215,72,Actin,bioentities_symbol
PMC1142215,4478,MSN,hgnc_symbol
PMC1142215,10298,PAK,bioentities_symbol
PMC1142215,5058,PAK,bioentities_symbol
PMC1142215,5062,PAK,bioentities_symbol
PMC1142215,5063,PAK,bioentities_symbol
PMC1142215,56924,PAK,bioentities_symbol
PMC1142215,57144,PAK,bioentities_symbol
PMC1142215,391,RAC,bioentities_symbol
PMC1142215,5879,RAC,bioentities_symbol
PMC1142215,5880,RAC,bioentities_symbol
PMC1142215,5881,RAC,bioentities_symbol
PMC1142215,6191,SCAR,hgnc_alias_symbol
PMC1142215,10011,SRA1,hgnc_symbol
PMC1142215,7204,TRIO,hgnc_symbol
PMC1142443,4929,RNR1,hgnc_alias_symbol
PMC1143566,8312,AXIN,bioentities_symbol
PMC1143566,8313,AXIN,bioentities_symbol
PMC1143566,816,CAMK2,hgnc_alias_symbol
PMC1143566,998,CDC42,hgnc_symbol
PMC1143566,23002,DAAM1,hgnc_symbol
PMC1143566,4041,LRP5,hgnc_symbol
PMC1143566,4040,LRP6,hgnc_symbol
PMC1143566,23683,PKC,bioentities_symbol
PMC1143566,5578,PKC,bioentities_symbol
PMC1143566,5579,PKC,bioentities_symbol
PMC1143566,5580,PKC,bioentities_symbol
PMC1143566,5581,PKC,bioentities_symbol
PMC1143566,5582,PKC,bioentities_symbol
PMC1143566,5583,PKC,bioentities_symbol
PMC1143566,5584,PKC,bioentities_symbol
PMC1143566,5588,PKC,bioentities_symbol
PMC1143566,5590,PKC,bioentities_symbol
PMC1143566,29984,Rho,hgnc_alias_symbol
PMC1143566,51384,WNT,bioentities_symbol
PMC1143566,54361,WNT,bioentities_symbol
PMC1143566,7471,WNT,bioentities_symbol
PMC1143566,7472,WNT,bioentities_symbol
PMC1143566,7473,WNT,bioentities_symbol
PMC1143566,7474,WNT,bioentities_symbol
PMC1143566,7475,WNT,bioentities_symbol
PMC1143566,7476,WNT,bioentities_symbol
PMC1143566,7477,WNT,bioentities_symbol
PMC1143566,7478,WNT,bioentities_symbol
PMC1143566,7479,WNT,bioentities_symbol
PMC1143566,7480,WNT,bioentities_symbol
PMC1143566,7481,WNT,bioentities_symbol
PMC1143566,7482,WNT,bioentities_symbol
PMC1143566,7483,WNT,bioentities_symbol
PMC1143566,7484,WNT,bioentities_symbol
