pmcid,entrez,symbol,source
PMC1143566,80326,WNT,bioentities_symbol
PMC1143566,81029,WNT,bioentities_symbol
PMC1143566,89780,WNT,bioentities_symbol
PMC1143566,648,BMI1,hgnc_symbol
PMC1143566,3549,Hedgehog,bioentities_symbol
PMC1143566,50846,Hedgehog,bioentities_symbol
PMC1143566,6469,Hedgehog,bioentities_symbol
PMC1143566,4851,Notch,bioentities_symbol
PMC1143566,4853,Notch,bioentities_symbol
PMC1143566,4854,Notch,bioentities_symbol
PMC1143566,4855,Notch,bioentities_symbol
PMC1143566,51384,WNT,bioentities_symbol
PMC1143566,54361,WNT,bioentities_symbol
PMC1143566,7471,WNT,bioentities_symbol
PMC1143566,7472,WNT,bioentities_symbol
PMC1143566,7473,WNT,bioentities_symbol
PMC1143566,7474,WNT,bioentities_symbol
PMC1143566,7475,WNT,bioentities_symbol
PMC1143566,7476,WNT,bioentities_symbol
PMC1143566,7477,WNT,bioentities_symbol
PMC1143566,7478,WNT,bioentities_symbol
PMC1143566,7479,WNT,bioentities_symbol
PMC1143566,7480,WNT,bioentities_symbol
PMC1143566,7481,WNT,bioentities_symbol
PMC1143566,7482,WNT,bioentities_symbol
PMC1143566,7483,WNT,bioentities_symbol
PMC1143566,7484,WNT,bioentities_symbol
PMC1143566,80326,WNT,bioentities_symbol
PMC1143566,81029,WNT,bioentities_symbol
PMC1143566,89780,WNT,bioentities_symbol
PMC1150820,51384,WNT,bioentities_symbol
PMC1150820,54361,WNT,bioentities_symbol
PMC1150820,7471,WNT,bioentities_symbol
PMC1150820,7472,WNT,bioentities_symbol
PMC1150820,7473,WNT,bioentities_symbol
PMC1150820,7474,WNT,bioentities_symbol
PMC1150820,7475,WNT,bioentities_symbol
PMC1150820,7476,WNT,bioentities_symbol
PMC1150820,7477,WNT,bioentities_symbol
PMC1150820,7478,WNT,bioentities_symbol
PMC1150820,7479,WNT,bioentities_symbol
PMC1150820,7480,WNT,bioentities_symbol
PMC1150820,7481,WNT,bioentities_symbol
PMC1150820,7482,WNT,bioentities_symbol
PMC1150820,7483,WNT,bioentities_symbol
PMC1150820,7484,WNT,bioentities_symbol
PMC1150820,80326,WNT,bioentities_symbol
PMC1150820,81029,WNT,bioentities_symbol
PMC1150820,89780,WNT,bioentities_symbol
PMC115962,27319,Beta3,hgnc_alias_symbol
PMC115962,3458,IFNG,hgnc_symbol
PMC115962,3439,Interferon,bioentities_symbol
PMC115962,3440,Interferon,bioentities_symbol
PMC115962,3441,Interferon,bioentities_symbol
PMC115962,3442,Interferon,bioentities_symbol
PMC115962,3443,Interferon,bioentities_symbol
PMC115962,3444,Interferon,bioentities_symbol
PMC115962,3445,Interferon,bioentities_symbol
PMC115962,3446,Interferon,bioentities_symbol
PMC115962,3447,Interferon,bioentities_symbol
PMC115962,3448,Interferon,bioentities_symbol
PMC115962,3449,Interferon,bioentities_symbol
PMC115962,3451,Interferon,bioentities_symbol
PMC115962,3452,Interferon,bioentities_symbol
PMC115962,3456,Interferon,bioentities_symbol
PMC115962,3467,Interferon,bioentities_symbol
PMC115962,56832,Interferon,bioentities_symbol
PMC115962,3716,JAK1,hgnc_symbol
PMC115962,3717,JAK2,hgnc_symbol
PMC115962,6772,STAT1,hgnc_symbol
PMC1172275,3725,c-Jun,hgnc_alias_symbol
PMC1172275,8772,FADD,hgnc_symbol
PMC1172275,5599,JNK,bioentities_symbol
PMC1172275,5601,JNK,bioentities_symbol
PMC1172275,5602,JNK,bioentities_symbol
PMC1172275,5604,MAP2K,bioentities_symbol
PMC1172275,5605,MAP2K,bioentities_symbol
PMC1172275,5606,MAP2K,bioentities_symbol
PMC1172275,5607,MAP2K,bioentities_symbol
PMC1172275,5608,MAP2K,bioentities_symbol
PMC1172275,5609,MAP2K,bioentities_symbol
PMC1172275,6416,MAP2K,bioentities_symbol
PMC1172275,10746,MAP3K,bioentities_symbol
PMC1172275,1326,MAP3K,bioentities_symbol
PMC1172275,369,MAP3K,bioentities_symbol
PMC1172275,389840,MAP3K,bioentities_symbol
PMC1172275,4214,MAP3K,bioentities_symbol
PMC1172275,4215,MAP3K,bioentities_symbol
PMC1172275,4216,MAP3K,bioentities_symbol
PMC1172275,4217,MAP3K,bioentities_symbol
PMC1172275,4293,MAP3K,bioentities_symbol
PMC1172275,4294,MAP3K,bioentities_symbol
PMC1172275,4296,MAP3K,bioentities_symbol
PMC1172275,51347,MAP3K,bioentities_symbol
PMC1172275,51776,MAP3K,bioentities_symbol
PMC1172275,57551,MAP3K,bioentities_symbol
PMC1172275,5894,MAP3K,bioentities_symbol
PMC1172275,673,MAP3K,bioentities_symbol
PMC1172275,6885,MAP3K,bioentities_symbol
PMC1172275,7786,MAP3K,bioentities_symbol
PMC1172275,80122,MAP3K,bioentities_symbol
PMC1172275,84451,MAP3K,bioentities_symbol
PMC1172275,9020,MAP3K,bioentities_symbol
PMC1172275,9064,MAP3K,bioentities_symbol
PMC1172275,9175,MAP3K,bioentities_symbol
PMC1172275,9344,MAP3K,bioentities_symbol
PMC1172275,1432,MAPK,bioentities_symbol
PMC1172275,5594,MAPK,bioentities_symbol
PMC1172275,5595,MAPK,bioentities_symbol
PMC1172275,5599,MAPK,bioentities_symbol
PMC1172275,5600,MAPK,bioentities_symbol
PMC1172275,5601,MAPK,bioentities_symbol
PMC1172275,5602,MAPK,bioentities_symbol
PMC1172275,5603,MAPK,bioentities_symbol
PMC1172275,6300,MAPK,bioentities_symbol
PMC1172275,4790,NFKB,bioentities_symbol
PMC1172275,4791,NFKB,bioentities_symbol
PMC1172275,5966,NFKB,bioentities_symbol
PMC1172275,5970,NFKB,bioentities_symbol
PMC1172275,5971,NFKB,bioentities_symbol
PMC1172275,7124,TNF,hgnc_symbol
PMC1172275,7132,TNFR1,hgnc_prev_symbol
PMC1172275,8717,TRADD,hgnc_symbol
PMC1174965,5594,ERK,bioentities_symbol
PMC1174965,5595,ERK,bioentities_symbol
PMC1174965,3458,IFNG,hgnc_symbol
PMC1174965,3654,IRAK,hgnc_alias_symbol
PMC1174965,3661,IRF3,hgnc_symbol
PMC1174965,3716,JAK,bioentities_symbol
PMC1174965,3717,JAK,bioentities_symbol
PMC1174965,3718,JAK,bioentities_symbol
PMC1174965,7297,JAK,bioentities_symbol
PMC1174965,5599,JNK,bioentities_symbol
PMC1174965,5601,JNK,bioentities_symbol
PMC1174965,5602,JNK,bioentities_symbol
PMC1174965,3664,LPS,hgnc_prev_symbol
PMC1174965,1432,MAPK,bioentities_symbol
PMC1174965,5594,MAPK,bioentities_symbol
PMC1174965,5595,MAPK,bioentities_symbol
PMC1174965,5599,MAPK,bioentities_symbol
PMC1174965,5600,MAPK,bioentities_symbol
PMC1174965,5601,MAPK,bioentities_symbol
PMC1174965,5602,MAPK,bioentities_symbol
PMC1174965,5603,MAPK,bioentities_symbol
PMC1174965,6300,MAPK,bioentities_symbol
PMC1174965,4615,MYD88,hgnc_symbol
PMC1174965,4790,NF-kappaB,hgnc_alias_symbol
PMC1174965,1432,p38,bioentities_symbol
PMC1174965,5600,p38,bioentities_symbol
PMC1174965,5603,p38,bioentities_symbol
PMC1174965,6300,p38,bioentities_symbol
PMC1174965,3265,RAS,bioentities_symbol
PMC1174965,3845,RAS,bioentities_symbol
PMC1174965,4893,RAS,bioentities_symbol
PMC1174965,8651,SOCS1,hgnc_symbol
PMC1174965,51497,TH1,hgnc_alias_symbol
PMC1174965,7189,TRAF6,hgnc_symbol
PMC118015,5566,PKA,bioentities_symbol
PMC118015,5567,PKA,bioentities_symbol
PMC118015,5568,PKA,bioentities_symbol
PMC118015,5573,PKA,bioentities_symbol
PMC118015,5575,PKA,bioentities_symbol
PMC118015,5576,PKA,bioentities_symbol
PMC118015,5577,PKA,bioentities_symbol
PMC1180390,58,Actin,bioentities_symbol
PMC1180390,59,Actin,bioentities_symbol
PMC1180390,60,Actin,bioentities_symbol
PMC1180390,70,Actin,bioentities_symbol
PMC1180390,71,Actin,bioentities_symbol
PMC1180390,72,Actin,bioentities_symbol
PMC1180390,1432,MAPK,bioentities_symbol
PMC1180390,5594,MAPK,bioentities_symbol
PMC1180390,5595,MAPK,bioentities_symbol
PMC1180390,5599,MAPK,bioentities_symbol
PMC1180390,5600,MAPK,bioentities_symbol
PMC1180390,5601,MAPK,bioentities_symbol
PMC1180390,5602,MAPK,bioentities_symbol
PMC1180390,5603,MAPK,bioentities_symbol
PMC1180390,6300,MAPK,bioentities_symbol
PMC1180390,4690,NCK,hgnc_prev_symbol
PMC1180390,369,RAF,bioentities_symbol
PMC1180390,5894,RAF,bioentities_symbol
PMC1180390,673,RAF,bioentities_symbol
PMC1180390,392,RhoGAP,hgnc_alias_symbol
PMC1180390,25759,SHC,bioentities_symbol
PMC1180390,399694,SHC,bioentities_symbol
PMC1180390,53358,SHC,bioentities_symbol
PMC1180390,6464,SHC,bioentities_symbol
PMC1180390,6654,SOS1,hgnc_symbol
PMC1183194,207,AKT1,hgnc_symbol
PMC1183194,5894,RAF1,hgnc_symbol
PMC1183194,7124,TNF,hgnc_symbol
PMC1183194,142,ADPRT,hgnc_prev_symbol
PMC1183194,351,APP,hgnc_symbol
PMC1183194,835,CASP2,hgnc_symbol
PMC1183194,1537,CYC1,hgnc_symbol
PMC1183194,1677,DFFB,hgnc_symbol
PMC1183194,3002,GZMB,hgnc_symbol
PMC1183194,4000,LMNA,hgnc_symbol
PMC1183194,839,CASP6,hgnc_symbol
PMC1183194,1676,DFFA,hgnc_symbol
PMC1183194,11124,FAF1,hgnc_symbol
PMC1183194,6416,MAP2K4,hgnc_symbol
PMC1183194,6885,MAP3K7,hgnc_symbol
PMC1183194,5925,RB1,hgnc_symbol
PMC1196350,581,BAX,hgnc_symbol
PMC1196350,6360,LEC,hgnc_alias_symbol
PMC1196350,8740,LIGHT,hgnc_alias_symbol
PMC1196350,5604,MEK1,hgnc_alias_symbol
PMC1196350,5605,MEK2,hgnc_alias_symbol
PMC1196350,5894,RAF1,hgnc_symbol
PMC1196350,5894,Raf-1,hgnc_alias_symbol
PMC1196350,5924,Ras-GRF2,hgnc_alias_symbol
PMC1201250,3439,IFN,hgnc_alias_symbol
PMC1201250,1147,IKK,bioentities_symbol
PMC1201250,3551,IKK,bioentities_symbol
PMC1201250,8517,IKK,bioentities_symbol
PMC1201250,3654,IRAK1,hgnc_symbol
PMC1201250,51135,IRAK4,hgnc_symbol
PMC1201250,3661,IRF3,hgnc_symbol
PMC1201250,3716,JAK,bioentities_symbol
PMC1201250,3717,JAK,bioentities_symbol
PMC1201250,3718,JAK,bioentities_symbol
PMC1201250,7297,JAK,bioentities_symbol
PMC1201250,3716,JAK1,hgnc_symbol
PMC1201250,3717,JAK2,hgnc_symbol
PMC1201250,3664,LPS,hgnc_prev_symbol
PMC1201250,4615,MYD88,hgnc_symbol
PMC1201250,8651,SOCS-1,hgnc_alias_symbol
PMC1201250,6772,STAT1,hgnc_symbol
PMC1201250,7038,TG,hgnc_symbol
PMC1201250,7097,TLR2,hgnc_symbol
PMC1201250,7099,TLR4,hgnc_symbol
PMC1201250,7189,TRAF6,hgnc_symbol
PMC1201572,6418,SET,hgnc_symbol
PMC120796,27143,PALD,hgnc_prev_symbol
PMC120796,7276,PALB,hgnc_prev_symbol
PMC1208922,1950,EGF,hgnc_symbol
PMC1208922,1956,EGFR,hgnc_symbol
PMC1208922,5604,MEK1,hgnc_alias_symbol
PMC1208922,5605,MEK2,hgnc_alias_symbol
PMC1208922,5894,RAF1,hgnc_symbol
PMC1208922,3265,RAS,bioentities_symbol
PMC1208922,3845,RAS,bioentities_symbol
PMC1208922,4893,RAS,bioentities_symbol
PMC1237076,4603,A-myb,hgnc_alias_symbol
PMC1237076,5956,CBP,hgnc_prev_symbol
PMC1237076,4602,c-myb,hgnc_alias_symbol
PMC1237076,11211,Frizzled,bioentities_symbol
PMC1237076,2535,Frizzled,bioentities_symbol
PMC1237076,7855,Frizzled,bioentities_symbol
PMC1237076,7976,Frizzled,bioentities_symbol
PMC1237076,8321,Frizzled,bioentities_symbol
PMC1237076,8322,Frizzled,bioentities_symbol
PMC1237076,8323,Frizzled,bioentities_symbol
PMC1237076,8324,Frizzled,bioentities_symbol
PMC1237076,8325,Frizzled,bioentities_symbol
PMC1237076,8326,Frizzled,bioentities_symbol
PMC1237076,28996,HIPK2,hgnc_symbol
PMC1237076,79811,Met,hgnc_alias_symbol
PMC1237076,51701,NLK,hgnc_symbol
PMC1237076,7182,TAK1,hgnc_alias_symbol
PMC1237076,7471,WNT1,hgnc_symbol
PMC1251585,57016,HIS,hgnc_alias_symbol
PMC1253564,10000,AKT,bioentities_symbol
PMC1253564,207,AKT,bioentities_symbol
PMC1253564,208,AKT,bioentities_symbol
PMC1253564,5595,ERK1,hgnc_alias_symbol
PMC1253564,5594,ERK2,hgnc_alias_symbol
PMC1253564,3552,IL1,bioentities_symbol
PMC1253564,3553,IL1,bioentities_symbol
PMC1253564,3576,IL-8,hgnc_alias_symbol
PMC1253564,5604,MEK1,hgnc_alias_symbol
PMC1253564,5605,MEK2,hgnc_alias_symbol
PMC1253564,5606,MKK3,hgnc_alias_symbol
PMC1253564,6416,MKK4,hgnc_alias_symbol
PMC1253564,5608,MKK6,hgnc_alias_symbol
PMC1253564,5609,MKK7,hgnc_alias_symbol
PMC1253564,4790,NF-kappaB,hgnc_alias_symbol
PMC1253564,1432,p38,bioentities_symbol
PMC1253564,5600,p38,bioentities_symbol
PMC1253564,5603,p38,bioentities_symbol
PMC1253564,6300,p38,bioentities_symbol
PMC1253564,5266,PI3,hgnc_symbol
PMC1253564,282974,PKE,hgnc_alias_symbol
PMC1253564,7124,TNF,hgnc_symbol
PMC125566,324,APC,hgnc_symbol
PMC125566,1499,armadillo,hgnc_alias_symbol
PMC125566,8312,AXIN,bioentities_symbol
PMC125566,8313,AXIN,bioentities_symbol
PMC125566,1499,BCATENIN,bioentities_symbol
PMC125566,11211,Frizzled,bioentities_symbol
PMC125566,2535,Frizzled,bioentities_symbol
PMC125566,7855,Frizzled,bioentities_symbol
PMC125566,7976,Frizzled,bioentities_symbol
PMC125566,8321,Frizzled,bioentities_symbol
PMC125566,8322,Frizzled,bioentities_symbol
PMC125566,8323,Frizzled,bioentities_symbol
PMC125566,8324,Frizzled,bioentities_symbol
PMC125566,8325,Frizzled,bioentities_symbol
PMC125566,8326,Frizzled,bioentities_symbol
PMC125566,2931,GSK3,bioentities_symbol
PMC125566,2932,GSK3,bioentities_symbol
PMC125566,26959,HBP1,hgnc_symbol
PMC125566,51384,WNT,bioentities_symbol
PMC125566,54361,WNT,bioentities_symbol
PMC125566,7471,WNT,bioentities_symbol
PMC125566,7472,WNT,bioentities_symbol
PMC125566,7473,WNT,bioentities_symbol
PMC125566,7474,WNT,bioentities_symbol
PMC125566,7475,WNT,bioentities_symbol
PMC125566,7476,WNT,bioentities_symbol
PMC125566,7477,WNT,bioentities_symbol
PMC125566,7478,WNT,bioentities_symbol
PMC125566,7479,WNT,bioentities_symbol
PMC125566,7480,WNT,bioentities_symbol
PMC125566,7481,WNT,bioentities_symbol
PMC125566,7482,WNT,bioentities_symbol
PMC125566,7483,WNT,bioentities_symbol
PMC125566,7484,WNT,bioentities_symbol
PMC125566,80326,WNT,bioentities_symbol
PMC125566,81029,WNT,bioentities_symbol
PMC125566,89780,WNT,bioentities_symbol
PMC1257398,2308,FOXO1,hgnc_symbol
PMC1257398,8660,IRS2,hgnc_symbol
PMC126171,1017,CDK2,hgnc_symbol
PMC126171,1019,CDK4,hgnc_symbol
PMC126171,1021,CDK6,hgnc_symbol
PMC126171,144455,E2F,bioentities_symbol
PMC126171,1869,E2F,bioentities_symbol
PMC126171,1870,E2F,bioentities_symbol
PMC126171,1871,E2F,bioentities_symbol
PMC126171,1874,E2F,bioentities_symbol
PMC126171,1875,E2F,bioentities_symbol
PMC126171,1876,E2F,bioentities_symbol
PMC126171,79733,E2F,bioentities_symbol
PMC126171,1029,p16,hgnc_alias_symbol
PMC126171,1029,p16,hgnc_alias_symbol
PMC127927,324,APC,hgnc_symbol
PMC127927,1000,Cadherin,bioentities_symbol
PMC127927,1001,Cadherin,bioentities_symbol
PMC127927,1002,Cadherin,bioentities_symbol
PMC127927,1003,Cadherin,bioentities_symbol
PMC127927,1004,Cadherin,bioentities_symbol
PMC127927,1005,Cadherin,bioentities_symbol
PMC127927,1006,Cadherin,bioentities_symbol
PMC127927,1007,Cadherin,bioentities_symbol
PMC127927,1008,Cadherin,bioentities_symbol
PMC127927,1009,Cadherin,bioentities_symbol
PMC127927,1010,Cadherin,bioentities_symbol
PMC127927,1012,Cadherin,bioentities_symbol
PMC127927,1013,Cadherin,bioentities_symbol
PMC127927,1014,Cadherin,bioentities_symbol
PMC127927,1015,Cadherin,bioentities_symbol
PMC127927,1016,Cadherin,bioentities_symbol
PMC127927,28316,Cadherin,bioentities_symbol
PMC127927,28513,Cadherin,bioentities_symbol
PMC127927,64403,Cadherin,bioentities_symbol
PMC127927,64405,Cadherin,bioentities_symbol
PMC127927,999,Cadherin,bioentities_symbol
PMC127927,11211,Frizzled,bioentities_symbol
PMC127927,2535,Frizzled,bioentities_symbol
PMC127927,7855,Frizzled,bioentities_symbol
PMC127927,7976,Frizzled,bioentities_symbol
PMC127927,8321,Frizzled,bioentities_symbol
PMC127927,8322,Frizzled,bioentities_symbol
PMC127927,8323,Frizzled,bioentities_symbol
PMC127927,8324,Frizzled,bioentities_symbol
PMC127927,8325,Frizzled,bioentities_symbol
PMC127927,8326,Frizzled,bioentities_symbol
PMC127927,51384,WNT,bioentities_symbol
PMC127927,54361,WNT,bioentities_symbol
PMC127927,7471,WNT,bioentities_symbol
PMC127927,7472,WNT,bioentities_symbol
PMC127927,7473,WNT,bioentities_symbol
PMC127927,7474,WNT,bioentities_symbol
PMC127927,7475,WNT,bioentities_symbol
PMC127927,7476,WNT,bioentities_symbol
PMC127927,7477,WNT,bioentities_symbol
PMC127927,7478,WNT,bioentities_symbol
PMC127927,7479,WNT,bioentities_symbol
PMC127927,7480,WNT,bioentities_symbol
PMC127927,7481,WNT,bioentities_symbol
PMC127927,7482,WNT,bioentities_symbol
PMC127927,7483,WNT,bioentities_symbol
PMC127927,7484,WNT,bioentities_symbol
PMC127927,80326,WNT,bioentities_symbol
PMC127927,81029,WNT,bioentities_symbol
PMC127927,89780,WNT,bioentities_symbol
PMC1287678,51295,ECSIT,hgnc_symbol
PMC1287678,1147,IKK,bioentities_symbol
PMC1287678,3551,IKK,bioentities_symbol
PMC1287678,8517,IKK,bioentities_symbol
PMC1287678,51135,IRAK4,hgnc_symbol
PMC1287678,3929,LBP,hgnc_symbol
PMC1287678,3664,LPS,hgnc_prev_symbol
PMC1287678,4214,MEKK,hgnc_alias_symbol
PMC1287678,10893,MMP,bioentities_symbol
PMC1287678,118856,MMP,bioentities_symbol
PMC1287678,4312,MMP,bioentities_symbol
PMC1287678,4313,MMP,bioentities_symbol
PMC1287678,4314,MMP,bioentities_symbol
PMC1287678,4316,MMP,bioentities_symbol
