entrez_id,n_symbol
2316,ABP280
28988,ABP1
22872,ABP125
22872,ABP130
23499,ABP620
2318,ABPL
84142,ABRA1
84142,ABRAXAS
23172,ABRO1
51428,ABS
25841,ABTB2A
121551,ABTB2B
427,AC
22880,AC004542.C22.1
83874,AC004997.C22.2
340745,AC022389.4
387712,AC023283.3
196792,AC073585.2
118670,AC073585.4
107,AC1
8842,AC133
108,AC2
109,AC3
285315,AC333
196883,AC4
537,AC45
111,AC5
112,AC6
113,AC7
114,AC8
115,AC9
34,ACAD1
3712,ACAD2
35,ACAD3
33,ACAD4
2639,ACAD5
37,ACAD6
36,ACAD7
79827,ACAM
6646,ACAT
23597,ACATE2
1622,ACBD1
10455,ACBD2
1622,ACBP
597,ACC1
597,ACC2
1512,ACC4
1512,ACC5
284293,ACC6
31,ACC1
32,ACC2
1512,ACC4
1512,ACC5
284293,ACC6
2827,ACCA
32,ACCB
427,ACDASE
51094,ACDCR1
79602,ACDCR2
1636,ACE1
55902,ACECS
84532,ACECS2L
29974,ACF
11177,ACF1
29974,ACF64
29974,ACF65
23499,ACF7
139818,ACG
10249,ACGNAT
11332,ACH1
641371,ACH2
55323,ACHERON
2780,ACHM4
5146,ACHM5
64327,ACHP
1145,ACHRE
81857,ACID1
10188,ACK
10188,ACK1
9034,ACKR5
83394,ACKR6
47,ACL
165,ACLP
2737,ACLS
4771,ACN
55554,ACO
79966,ACOD4
50,ACONM
4706,ACP
55,ACP3
55,ACP3
51324,ACP33
5657,ACPA
84792,ACPIN1
8807,ACPL
51205,ACPL1
60496,ACPS
25824,ACR1
170622,ACRG
9552,ACRP
9370,ACRP30
55902,ACS
2180,ACS1
51703,ACS2
2181,ACS3
2182,ACS4
51703,ACS5
55902,ACSA
10998,ACSB
65985,ACSF1
132949,ACSF4
80221,ACSMW
11001,ACSVL1
28965,ACSVL2
11000,ACSVL3
10999,ACSVL4
376497,ACSVL5
10998,ACSVL6
12,ACT
6351,ACT2
10758,ACT1
7293,ACT35
11034,ACTDP
5443,ACTH
4158,ACTHR
83729,ACTIVIN
86,ACTL6
8202,ACTR
93,ACTRIIB
55860,ACTR11
91,ACTRIB
92,ACTRII
59,ACTSA
72,ACTSG
3708,ACV
90,ACVR1A
9863,ACVRIP1
7046,ACVRLK4
130399,ACVRLK7
91703,ACY3
443,ACY2
27445,ACZ
28989,AD003
6880,AD004
23019,AD005
55829,AD015
55830,AD017
56900,AD020
51062,ADFSP
51503,AD002
57409,AD023
57405,AD024
55848,AD025
140,AD026
55425,AD029
143872,AD031
83732,AD034
57704,AD035
83937,AD037
84230,AD158
64318,AD24
11138,AD3
5664,AD3L
2516,AD4BP
117143,ADA1
6871,ADA2A
10474,ADA3
81794,ADAMTS10
9509,ADAMTS2
11174,ADAMTS6
11173,ADAMTS7
11095,ADAMTS8
8749,ADAM27
8747,ADAM31
9507,ADAMTS2
9509,ADAMTS3
9508,ADAMTS4
11096,ADAMTS11
170690,ADAMTS16S
79875,ADAMTSL6
92949,ADAMTSR1
5903,ADANE
2533,ADAP
8540,ADAPS
9472,ADAP6
103,ADAR1
104,ADAR2
104,ADAR2A
104,ADAR2AL1
104,ADAR2AL2
104,ADAR2AL3
104,ADAR2B
104,ADAR2C
104,ADAR2D
104,ADAR2G
105,ADAR3
8540,ADAS
3681,ADB2
5173,ADCA
4040,ADCAD2
6314,ADCAII
119,ADDB
10606,ADE2H1
11034,ADF
54438,ADG90
51816,ADGF
9620,ADGRC1
1952,ADGRC2
1951,ADGRC3
551,ADH
127,ADH2
128,ADH3
131,ADH4
130,ADH5
6442,ADHALIN
8540,ADHAPS
128,ADHX
388581,ADIPOLIN
9370,ADIPONECTIN
80339,ADIPONUTRIN
64222,ADIR2
4582,ADMCKD
4582,ADMCKD1
165679,ADMP
9507,ADMP1
11096,ADMP2
1675,ADN
726,ADNIV
23394,ADNP1
29095,ADOPLIN2
23038,ADP
83440,ADPGK
11145,ADPLA
10039,ADPRT3
8540,ADPS
6683,ADPSP
146,ADRA1
148,ADRA1L1
146,ADRA1R
150,ADRAR
151,ADRARL1
152,ADRARL2
154,ADRBR
215,ADRENOLEUKODYSTROPHY
123,ADRP
84293,ADRX
81790,ADSA
56729,ADSF
8546,ADTB3A
8943,ADTD
10677,ADVIL
2230,ADX
400818,AE01
84224,AE2
6508,AE3
83697,AE4
92140,AEG1
10321,AEG2
158056,AEGP
124783,AEP2
285203,AER61
5710,AF
3460,AF1
2060,AF1P
4299,AF4
4301,AF6
4300,AF9
27300,AF020591
1946,AF1
8028,AF10
57082,AF15Q14
4302,AF17
10801,AF17Q25
10962,AF1Q
51517,AF3P21
4299,AF4
285527,AF4P12
27125,AF5Q31
4301,AF6
2309,AF6Q21
4300,AF9
153090,AF9Q34
54586,AFAF
60312,AFAP
60312,AFAP110
8574,AFAR
246181,AFAR3
3484,AFBP
246269,AFG1
166378,AFG2
2246,AFGF
201627,AFI1A
414918,AFI1B
10974,AFRO
55783,AFT
79572,AFURS1
4303,AFX1
100132406,AG1
387763,AG2
185,AG2S
162417,AGAS
2628,AGAT
387882,AGD3
83854,AGF
4708,AGGG
10630,AGGRUS
3589,AGIF
5238,AGM1
55294,AGO
84892,AGO61
5005,AGPB
5005,AGPB'
5005,AGP2
5657,AGP7
79888,AGPAT10
54947,AGPAT11
253558,AGPAT8
79888,AGPAT9
51060,AGR1
9294,AGR16
133584,AGRINL
133584,AGRNL
1605,AGRNR
181,AGRT
51655,AGS1
26086,AGS3
10535,AGS4
25939,AGS5
157724,AGT1
189,AGT1
64902,AGT2
114548,AGTAVPRL
185,AGTR1A
6675,AGX
6675,AGX1
189,AGXT1
10598,AHA1
10994,AHAS
190,AHCH
51439,AHCP
182,AHD
152816,AI2A4
8202,AIB1
23054,AIB3
8537,AIBC1
128240,AIBP
11234,AIBP63
148327,AIBZIP
471,AICARFT
9976,AICL
57379,AID
56899,AIDA1
117159,AIDD
10083,AIE75
83878,AIEBP
9131,AIF
199,AIF1
150209,AIFL
51390,AIG1
84830,AIG1L
2253,AIGF
10955,AIGP1
114548,AII
50943,AIID
6790,AIK
9212,AIK2
29851,AILIM
51151,AIM1
130355,AIM29
9521,AIMP3
22806,AIOLOS
10152,AIP1
9863,AIP1
11060,AIP2
9223,AIP3
83737,AIP4
11059,AIP5
134728,AIP70
9588,AIPLA2
84186,AIR1
90637,AIRAP
130617,AIRAPL
10606,AIRC
93034,AIRP
367,AIS
160728,AIT
7038,AITD3
8784,AITR
8995,AITRL
389813,AJM1
132,AK
55801,AK155
4762,AKA
11217,AKAPKL
11214,AKAPLBC
9472,AKAP100
10566,AKAP110
8165,AKAP121
8165,AKAP149
9465,AKAP15
9465,AKAP18
11215,AKAP220
9590,AKAP250
158798,AKAP28
10142,AKAP350
10142,AKAP450
9495,AKAP75
9495,AKAP79
8852,AKAP82
8165,AKAP84
10270,AKAP95
27199,AKGR
54998,AKIP
50808,AKL3L1
57016,AKR1B12
7881,AKR6A3
8514,AKR6A5
9196,AKR6A9
207,AKT
210,ALADH
16,ALARS
173,ALB2
173,ALBA
55821,ALC
4635,ALC1
253558,ALCAT1
64577,ALDH12
8540,ALDHPSY
219,ALDHX
196410,ALDI
1585,ALDOS
215,ALDP
225,ALDR
57016,ALDRLN
225,ALDRP
51309,ALEX1
9823,ALEX2
51566,ALEX3
11036,ALF
23001,ALFY
10016,ALG2
22984,ALG4
84920,ALG10A
200810,ALG1L1
1798,ALG7
255324,ALGV3072
347902,ALI1
9318,ALIEN
10015,ALIX
7046,ALK5
339221,ALKSMASE
94,ALK1
90,ALK2
657,ALK3
91,ALK4
7046,ALK5
658,ALK6
130399,ALK7
8846,ALKB
79068,ALKBH9
340485,ALKCDASE2
613,ALL
4297,ALL1
284021,ALLERGIN1
124912,ALLP17
57559,ALMALPHA
10850,ALP
80150,ALP1
25825,ALP56
5265,ALPHA1ANTITRYPSIN
5345,ALPHA2PI
8727,ALPHACATU
2217,ALPHACHAIN
23203,ALPHAMPP
4899,ALPHAPAL
9459,ALPHAPIX
3680,ALPHARLC
5265,ALPHA1AT
51146,ALPHA4GNT
1438,ALPHAGMR
9459,ALPHAPIX
8085,ALR
3596,ALRH
27063,ALRP
3483,ALS
23435,ALS10
9896,ALS11
2066,ALS19
3178,ALS20
9217,ALS8
2875,ALT1
84706,ALT2
5621,ALTPRP
6727,ALURBP
84941,ALX
2358,ALXR
10189,ALY
10189,ALY/REF
79583,ALYE870
133,AM
11318,AMR
79924,AM2
199800,AM5
6362,AMAC1
340706,AMACO
84073,AMAP1
3811,AMB11
27159,AMCASE
7140,AMCD2B
3576,AMCFI
2821,AMF
120425,AMICA
29844,AMIDA
57463,AMIGO
29091,AMISYN
864,AML2
860,AML3
4635,AMLC
861,AMLCR1
81693,AMNIONLESS
482,AMOG
4236,AMP
56287,AMP18
274,AMPH2
6385,AMPHIGLYCAN
5563,AMPK
5562,AMPKA1
5563,AMPKA2
10617,AMSH
57559,AMSHFP
57559,AMSHLP
10439,AMY
26292,AMY1
4603,AMYB
3375,AMYLIN
5080,AN
10950,ANA
10950,ANA/BTG3
57019,ANAMORSIN
246184,ANAPC12
996,ANAPC3
8881,ANAPC6
8697,ANAPC8
51193,ANC2H01
29028,ANCCA
84936,ANCHR
7337,ANCR
11169,AND1
8412,AND34
8820,ANF
9310,ANF270
7108,ANG1
285,ANG2
9068,ANG3
10563,ANGIE
10563,ANGIE2
10218,ANGX
9068,ANGY
57018,ANIA6A
81669,ANIA6B
54443,ANILLIN
56172,ANK
81570,ANKCLB
51479,ANKHZN
54101,ANKK2
8625,ANKRA1
26051,ANKRD4
7918,ANKRD59
55184,ANKRD64
56899,ANKS2
124590,ANKS4A
57524,ANKS5A
57513,ANKS5B
51203,ANKT
7138,ANM
3276,ANM1
4858,ANOVA
4881,ANPA
4882,ANPB
24148,ANT1
54978,ANT2BP
293,ANT3Y
83447,ANT4
1992,ANTIELASTASE
57152,ANUP
11199,ANX14
316,AO
64320,AO7
54840,AOA
54840,AOA1
23064,AOA2
10549,AOE372
25824,AOEB166
316,AOH1
10935,AOP1
9588,AOP2
84909,AOPEP
10055,AOS1
3727,AP1
7020,AP2
11278,AP2REP
7023,AP4
23431,AP4EPSILON
91056,AP5
387695,AP57
84909,APO
23753,AP000553.C22.4
10053,AP1MU2
162,AP105A
9892,AP180
1174,AP19
2167,AP2
7021,AP2B
7022,AP2GAMMA
339488,AP2E
11278,AP2REP
2272,AP3AASE
29803,AP4
8907,AP47
10947,AP47B
1173,AP50
57862,APA1
57862,APA1
51172,APAA
10190,APACD
317,APAF1
842,APAF3
6051,APB
29957,APC1
10393,APC10
51529,APC11
51529,APC11P
246184,APC12
25847,APC13
25906,APC15
119504,APC16
996,APC3
29945,APC4
51433,APC5
8881,APC6
51434,APC7
8697,APC8
773,APCA
10297,APCL
328,APE
328,APE1
27301,APE2
8862,APELIN
328,APEN
27301,APEXL2
22824,APG1
9140,APG12
84971,APG4D
23192,APG4B
9474,APG5
23710,APG8L
285973,APG9L2
51107,APH1A
83464,APH1B
84287,APH2
55331,APHC
5345,API
8539,API5L1
54959,APIN
51074,APIP2
187,APJ
187,APJR
10495,APK1
55256,APL1
333,APLP
9370,APM1
10974,APM2
58477,APMCF1
84909,APO
355,APO1
8743,APO2L
8718,APO3
8797,APO2
8742,APO3L
116519,APOAV
55911,APOB100R
55911,APOB48R
339,APOBEC1
29974,APOBEC1CF
27350,APOBEC1L
140564,APOBEC3DE
4035,APOER
7804,APOER2
23780,APOLII
80830,APOLVI
80833,APOLIII
80832,APOLIV
5442,APOLMT
80831,APOLV
80830,APOLVI
84334,APOP1
836,APOPAIN
8761,APP1
8883,APPBP1
63929,APP3
79156,APPD
334,APPH
26060,APPL
206338,APQ
5366,APR
6774,APRF
339883,APRG1
8741,APRIL
7832,APRO1
694,APRO2
54766,APRO3
10950,APRO4
10140,APRO5
10603,APS
326,APS1
11313,APT2
10159,APT6M89
328,APX
134549,APXL2
57619,APXL3
4724,AQDQ
338872,AQL1
4284,AQP0
364,AQPAP
206338,AQPEP
5071,ARJP
6942,AR1
7067,AR7
2296,ARA
9092,ARA1
7110,ARA160
5901,ARA24
64324,ARA267
9604,ARA54
7041,ARA55
8031,ARA70
9049,ARA9
8604,ARALAR
10165,ARALAR2
199920,ARAP
51586,ARC105
10092,ARC16
81873,ARC162
10093,ARC20
10094,ARC21
112950,ARC32
10109,ARC34
10552,ARC40
10095,ARC41
81857,ARC92
23345,ARCA1
5100,ARCADLIN
10930,ARCD1
339487,ARCH
55156,ARCP
55256,ARD
5511,ARD1
373,ARD1
84779,ARD2
27350,ARDC2
27350,ARDC4
6293,ARE1
6935,AREB6
55657,AREBP
51804,AREC3
1029,ARF
9922,ARFGEP100
8729,ARF1GEF
120534,ARF7EP
10565,ARFGEP1
400,ARFL1
402,ARFL2
403,ARFL3
27,ARG
27335,ARG134
79665,ARG147
23237,ARG3.1
83857,ARG99
162417,ARGA
8470,ARGBP2
10152,ARGBPIA
22899,ARGEF15
8694,ARGP1
390502,ARGS
26119,ARH
141,ARH1
113622,ARH2
54936,ARH3
57522,ARHGAP13
9901,ARHGAP14
1123,ARHGAP2
1124,ARHGAP3
23380,ARHGAP34
90627,ARHGAP37
9754,ARHGAP38
4983,ARHGAP41
23616,ARHGAP43
51291,ARHGAP46
117289,ARHGAP47
10144,ARHGAP48
51306,ARHGAP49
10395,ARHGAP7
11214,ARHGEF13
23263,ARHGEF14
4168,ARHGEF21
23101,ARHGEF22
7204,ARHGEF23
8997,ARHGEF24
25791,ARHGEF27
221178,ARHGEF29
84033,ARHGEF30
1894,ARHGEF31
345930,ARHGEF32
23268,ARHGEF36
57480,ARHGEF41
64857,ARHGEF42
26030,ARHGEF43
25894,ARHGEF44
10276,ARHGEF8
27289,ARHS
25820,ARI
641700,ARIA
9863,ARIP1
55333,ARIP2
9063,ARIP3
23132,ARIP4
54778,ARK
6790,ARK1
9212,ARK2
6795,ARK3
9891,ARK5
54778,ARKADIA
147339,ARKL1
494470,ARKL2
57016,ARL1
10139,ARL18
115761,ARLTS1
80210,ARM
11047,ARM1
51155,ARM2
1499,ARMADILLO
80133,ARMC11
63892,ARMC13
7099,ARMD10
24,ARMD2
10516,ARMD3
3075,ARMD4
2074,ARMD5
84839,ARMD6
5654,ARMD7
387715,ARMD8
718,ARMD9
23204,ARMER
57498,ARMS
3075,ARMS1
55357,ARMUS
25898,ARNIP
9266,ARNO
9265,ARNO3
1588,ARO
1588,ARO1
1588,AROMATASE
7873,ARP
139741,ARPT1
140625,ARPT2
10121,ARP1
164668,ARP10
57180,ARP11
10121,ARP1A
10120,ARP1B
10097,ARP2
10096,ARP3
57180,ARP3BETA
86,ARP4
83854,ARP5
64431,ARP6
200316,ARP8
55697,ARPIKFYVE
5314,ARPKD
84517,ARPM1
140625,ARPM2
26287,ARPP
10776,ARPP16
10776,ARPP19
2029,ARPP19E
10777,ARPP21
10776,ARPP16
10628,ARRDC6
6295,ARRESTIN
54439,ARRS1
64062,ARRS2
407,ARRX
57152,ARS
51593,ARS2
439,ARSAI
26278,ARSACS
412,ARSC
51109,ARSDR1
181,ART
8409,ART27
28987,ART4
417,ART2
64421,ARTEMIS
5414,ARTS
51752,ARTS1
6262,ARVC2
7337,AS
9882,AS160
57186,AS250
23047,AS3
653308,ASAH2L
79827,ASAM
79884,ASAP
22,ASAT
51665,ASB1
51676,ASB2
51130,ASB3
51666,ASB4
91304,ASBABP1
5069,ASBABP2
29108,ASC
56301,ASC1
84164,ASC1P100
10973,ASC1P200
51008,ASC1P50
260434,ASC2
23300,ASCIZ
389084,ASCL830
6509,ASCT1
6510,ASCT2
10849,ASE1
9055,ASE1
50649,ASEF
6426,ASF
429,ASH1
55870,ASH1L1
430,ASH2
9070,ASH2L2
4714,ASHI
40,ASIC2A
181,ASIP2
10926,ASK
4217,ASK1
9064,ASK2
389840,ASK3
80174,ASKL1
6609,ASM
10924,ASM3A
10924,ASML3A
27293,ASML3B
438,ASMTY
434,ASP
23549,ASPEP
54413,ASPGX1
55118,ASPIC1
79058,ASPL
23368,ASPP1
7159,ASPP2
79058,ASPS
2197,ASR1
51593,ASR2
175,ASRG
54940,ASRIJ
26503,AST
2805,AST1
92342,ASTP2
6714,ASV
79074,ASW
55252,ASXH2
57142,ASY
10313,ASYIP
9197,AT1
4683,ATV1
4683,ATV2
185,AT1
185,AT1B
186,AT2
1958,AT225
185,AT2R1
185,AT2R1A
185,AT2R1B
6351,AT744.1
81539,ATA1
54407,ATA2
55089,ATA3
6375,ATAC
26009,ATAC1
57325,ATAC2
8764,ATAR
9027,ATASE2
57509,ATBP
10699,ATC2
148327,ATCE1
23650,ATDC
22926,ATF6A
11016,ATFA
8408,ATG1
22863,ATG14L
55054,ATG16A
89849,ATG16B
9821,ATG17
55062,ATG18
55062,ATG18A
26100,ATG18B
8408,ATG1A
9706,ATG1B
26100,ATG21
401548,ATG24A
8723,ATG24B
8678,ATG6
11345,ATG8
11337,ATG8A
23710,ATG8B
11345,ATG8C
84557,ATG8E
81631,ATG8F
643246,ATG8G
440738,ATG8J
23710,ATG8L
57104,ATGL
58158,ATH3
462,ATIII
57509,ATIP1
57509,ATIP3
695,ATK
4361,ATLD
22,ATM1P
63974,ATOH2
58158,ATOH3
63973,ATOH4
50674,ATOH5
9605,ATPBL
64756,ATP11
64756,ATP11P
91647,ATP12
91647,ATP12P
27032,ATP2C1A
498,ATP5A
10476,ATP5JD
10632,ATP5JG
9551,ATP5JL
4508,ATP6
495,ATP6A
23545,ATP6A2
496,ATP6B
245973,ATP6C2
9114,ATP6DV
90423,ATP6E1
529,ATP6E2
9550,ATP6G
127124,ATP6G3
9550,ATP6GL
10312,ATP6I
10159,ATP6M89
10312,ATP6N1C
23545,ATP6N1D
9296,ATP6S14
10312,ATP6V0A3
4509,ATP8
4508,ATPASE6
11321,ATPBD1A
47,ATPCL
953,ATPDASE
93974,ATPI
10396,ATPIA
51761,ATPIB
5205,ATPIC
57198,ATPID
23200,ATPIF
286410,ATPIG
23250,ATPIH
10079,ATPIIA
374868,ATPIIB
148229,ATPIK
79895,ATPIM
93974,ATPIP
286410,ATPIQ
23200,ATPIR
23250,ATPIS
539,ATPO
10476,ATPQ
9061,ATPSK1
9060,ATPSK2
57194,ATPVA
23120,ATPVB
57194,ATPVC
57205,ATPVD
27109,ATPW
6519,ATR1
57085,ATRAP
84889,ATRC3
114907,ATROGIN1
55293,ATTP
4683,ATV
5168,ATX
6310,ATX1
6311,ATX2
4287,ATX3
55806,AU
285016,AUGA
389658,AUGB
84417,AUGURIN
6790,AURA
9212,AURB
6795,AURC
23192,AUTL1
84938,AUTL3
54413,AUTSX1
253260,AVO3
151258,AVT2
29896,AWMS1
55630,AWMS2
84935,AWMS3
54469,AWP1
182,AWS
7490,AWT1
59343,AXAM2
389289,AXIIR
84634,AXOR12
59340,AXOR35
2621,AXSF
84153,AYP1
79608,AYST720
22994,AZ1
64343,AZ2
719,AZ3B
566,AZAMP
4946,AZI
566,AZU
10579,AZU1
2596,B50
7846,BALPHA1
10538,BATF
83875,BDIOXII
3576,BENAP
2173,BFABP
51495,BIND1
4605,BMYB
7306,BPROTEIN
6373,BR1
5473,BTG1
89839,B'T
3692,B(2)GCN
931,B1
5169,B10
4709,B12
8289,B120
4698,B13
4700,B14
4701,B14.5A
4718,B14.5B
126328,B14.7
7940,B144
4710,B15
51079,B16.6
25824,B166
4712,B17
55967,B17.2
91942,B17.2L
4713,B18
59271,B19
623,B1BKR
2494,B1F2
9267,B21
4715,B22
4869,B23
56246,B27
54069,B28
974,B29
154,B2AR
9595,B31
1822,B37
55728,B3BP
10317,B3GALTV
145173,B3GLCT
10678,B3GNT1
10678,B3GNT2
10331,B3GNT3
79369,B3GNT4
84002,B3GNT5
192134,B3GNT6
10678,B3GNT2
10331,B3GNT3
145173,B3GTL
10317,B3T5
10957,B42
283358,B4GALNACT3
6242,B5
51167,B5+B5R
6431,B52
50488,B55
5520,B55A
5520,B55ALPHA
5521,B55BETA
55844,B55D
55844,B55DELTA
5522,B55GAMMA
5525,B56A
5525,B56ALPHA
5526,B56B
5526,B56BETA
5528,B56D
5528,B56DELTA
5529,B56E
5529,B56EPSILON
5527,B56G
5527,B56GAMMA
7126,B61
5317,B6P
10233,B7
941,B71
942,B72
80380,B7DC
29126,B7H
29126,B7H1
23308,B7H2
80381,B7H3
79679,B7H4
11148,B7H5
374383,B7H6
941,B7.1
942,B7.2
147495,B7323
29126,B7H1
23308,B7H2
80381,B7H3
79679,B7H4
64115,B7H5
11148,B7H7
23308,B7RP1
80381,B7RP2
23308,B7RP1
79679,B7S1
79679,B7X
11148,B7Y
4695,B8
4696,B9
7127,B94
51512,B99
402381,BA100C15.3
51022,BA101E13.1
81617,BA103J18.3
57700,BA106M7.3
503542,BA108K14.1
93426,BA108K14.6
79955,BA108L7.8
347252,BA113O24.1
729262,BA119F19.1
80312,BA119F7.1
58528,BA11D8.2.1
149986,BA11M20.3
404672,BA120J8.2
10208,BA121O19.1
140679,BA122O1.1
85450,BA127L20.2
118987,BA129M16.2
6019,BA12D24.1.1
6019,BA12D24.1.2
9679,BA12J10.2
64773,BA12M19.1
51569,BA131P10.1
375519,BA136M9.1
159195,BA137L10.3
159195,BA137L10.4
282973,BA140A10.5
26095,BA142I17.1
728113,BA145E20.2
346171,BA145L22
346171,BA145L22.2
140862,BA149I18.1
439996,BA149I23.6
84945,BA153I24.2
28984,BA157L14.2
442425,BA159H20.4
653427,BA15J10.2
134829,BA160A10.4
387263,BA160E12.4
57209,BA162G10.3
653567,BA162I21.2
54537,BA163M19.1
79981,BA164L23.1
644054,BA164N7.4
445577,BA165J3.3
387638,BA165O3.1
346007,BA166P24.2
548645,BA16L21.2.1
653567,BA16O1.2
253582,BA174C7.4
55833,BA176F3.5
55713,BA179N14.1
80256,BA182N22.6
643414,BA186O14.2
643418,BA186O14.3
79813,BA188C12.1
55184,BA189K21.8
79847,BA18I14.8
128602,BA196N14.1
140731,BA196N14.3
928,BA2
221336,BA203B9.1
22862,BA203I16.5
138429,BA203J24.5
399665,BA203J24.7
378884,BA204B7.2
221656,BA204B7.3
101362076,BA205M20.5
57589,BA207C16.1
54881,BA208F1.2
100129669,BA20A20.1
79949,BA211N11.2
158471,BA214N16.3
256815,BA215C7.4
89891,BA216B9.3
29085,BA216L13.10
84960,BA216L13.7
55684,BA216L13.9
128821,BA218C14.1
55151,BA219P18.1
119395,BA225H22.7
29078,BA22L21.1
25980,BA234K24.2
26578,BA235O14.1
54981,BA235O14.2
128853,BA243J16.5
128853,BA243J16.6
84624,BA243O10.1
158135,BA244O19.1
55425,BA245H20.2
389792,BA247A12.2
387707,BA248J23.4
441459,BA255A11.3
80759,BA257K9.4
100128327,BA259P20.2
128414,BA261N11.2
55738,BA261N11.3
