entrez_id,n_symbol
479,2
55558,6.3
3543,14.1
3805,15.212
3802,47.11
201626,3635
49860,SEP53
11133,2E4
11054,760
7549,A15
84059,FEB4
60343,219
54097,221
388015,MAR1
23089,MAR2
203430,MAR3
340595,MAR4
340526,MAR5
84247,MAR6
23641,MAR7
8933,MAR8
57529,MAR9
28986,APR1
51374,APR3
79039,APR5
2537,616
54464,SEP1
23157,SEP2
9403,SEP15
8519,927
5451,OCT1
5452,OCT2
5460,OCT3
5460,OCT4
5453,OCT6
5454,OCT7
25833,OCT11
143501,NOV1
79365,DEC2
7551,A851
479,#945
10581,18D
10410,18U
9588,1CYS
10840,10FTHF
400506,101F10.1
11068,101F6
3805,103AS
64333,10C
10916,11B6
2853,12HETER
11186,123F2
27086,12CC4
242,12RLOX
239,12SLOX
10827,133K02
10129,13CDNA73
10971,1433
7534,1433ZETA
246,15LOX1
247,15LOX2
4809,15.5K
1605,156DAG
283459,15E1.2
966,16.3A5
537,16A
9319,16E1BP
4072,171A
51170,17BETAHSD11
51170,17BETAHSDXI
83544,1700010H15RIK
6499,170A
3028,17BHSD10
57532,182FIP
6275,18A2
57823,19A
4077,1A13B
27340,1A6/DRIM
259197,1C7
25802,1D
5996,1R20
26958,2COP
26061,2HPCL
201626,2'PDE
10994,209L8
23403,20D7FC4
6450,21GARP
114899,2310005P21RIK
79770,2310047H23RIK
758,239AB
744,239FB
342667,24B2
3934,24P3
56478,2610509L04RIK
347148,26RFA
9724,2700066J21RIK
6277,2A9
51035,2B28
51744,2B4
55435,2C18
25843,2C4D
10219,2F1
3189,2H9
10284,2HOR0202
10090,2OST
25915,2P1
6418,2PP2A
3576,310C
1109,3ALPHAHSD
222537,3OST5
54545,3PAP
90459,3'HEXO
129025,3'OY11.1
826,30K
9955,30ST3A1
9953,30ST3B1
4072,323/A3
3921,37LRP
29781,384D82
27067,39K2
10170,3ALPHAHSD
92140,3D3
10180,3G2
80184,3H11AG
83987,3M3
9957,3OST1
9956,3OST2
9955,3OST3A1
9953,3OST3B1
9951,3OST4
54545,3PAP
7867,3PK
3604,41BB
8744,41BBL
3242,4HPPD
84842,4HPPDL
2037,4.1G
23136,4.1B
2036,4.1N
2035,4.1R
6275,42A
6281,42C
23053,4832404P21RIK
55145,4833431A01RIK
389874,4930513O09RIK
133923,4933409D10RIK
1978,4EBP1
8637,4EBP3
56478,4ET
9470,4EHP
6520,4F2
6520,4F2HC
8293,4F5
10169,4F5REL
3242,4HPPD
9946,4P11
6520,4T2HC
3357,5HT(2B)
3350,5HT1A
3351,5HT1B
3352,5HT1D
3351,5HT1DB
3354,5HT1E
3355,5HT1F
3356,5HT2A
3357,5HT2B
3358,5HT2C
3359,5HT3A
9177,5HT3B
3359,5HT3R
3360,5HT4
3361,5HT5A
3362,5HT6
3362,5HT6R
3363,5HT7
6532,5HTT
240,5LOX
26873,5OPASE
140883,5'OY11.1
7158,53BP1
7159,53BP2
10897,54TM
6641,59DAP
3358,5HTR2C
3632,5PTASE
7162,5T4
7162,5T4AG
9556,6.8PL
6279,60B8AG
25802,64KD
130535,6530404F10RIK
57492,6A35
10134,6C6AG
6366,6CKINE
25796,6PGL
8481,717A
8227,721P
54440,753P9
27229,76P
346389,7A5
6447,7B2
1003,7B4
85360,7H3
4082,80KL
57532,82FIP
2773,87U6
23345,8B
51293,8D6
51293,8D6A
29802,8HS20
3959,90K
56983,9630046K23RIK
9130,9F
6432,9G8
6367,A152E5.1
27239,A2
123876,A923A4.1
2167,AFABP
51752,ALAP
4603,AMYB
64421,ASCID
535,A1
10209,A121
53947,A14GALT
7102,A15
8878,A170
5265,A1A
5265,A1AT
6641,A1B
56893,A1U
23545,A2
7128,A20
57149,A211C6.1
158471,A214N16.3
445582,A26C1
6004,A28RGS14
5345,A2AP
54715,A2BP1
11273,A2D
197,A2HS
11273,A2LP
10312,A3
10223,A33
1605,A3A
6443,A3B
28,A3GALNT
28,A3GALT1
5355,A4
5355,A4LSB
5756,A6
4509,A6L
11344,A6R
11344,A6RP
6510,AAAT
8539,AAC11
8539,AAC11
1644,AADC
80169,AAF132
6432,AAG3
139322,AAIR8193
51422,AAKG
51422,AAKG2
5345,AAP
23429,AAP1
60496,AASDPPT
5265,AAT
89876,AAT1
89876,AAT1ALPHA
9625,AATYK
9625,AATYK1
22853,AATYK2
79932,AAVR
54776,AAVS1
3028,ABAD
92154,ABBA
92154,ABBA1
3182,ABBP1
21,ABCC
63897,ABC1
8647,ABC16
5243,ABC20
10061,ABC28
1080,ABC35
6833,ABC36
9619,ABC8
340273,ABCB5ALPHA
340273,ABCB5BETA
6367,ABCD1
6361,ABCD2
6376,ABCD3
9429,ABCP
10347,ABCX
9242,ABF1
8846,ABH
121642,ABH2
26090,ABHD12A
10006,ABI1
10152,ABI2
10152,ABI2B
10318,ABIN1
79155,ABIN2
79931,ABIN3
4547,ABL
10152,ABLBP3
3983,ABLIM
6462,ABP
2317,ABP278
