entrez_id,bioentities
4904,YBX
51087,YBX
8531,YBX
7471,WNT
7482,WNT
7472,WNT
7473,WNT
89780,WNT
54361,WNT
7474,WNT
81029,WNT
7475,WNT
7476,WNT
7477,WNT
7478,WNT
7479,WNT
7483,WNT
7484,WNT
80326,WNT
7480,WNT
7481,WNT
51384,WNT
2321,VEGFR
2324,VEGFR
3791,VEGFR
7422,VEGF
7423,VEGF
7424,VEGF
2277,VEGF
5228,VEGF
7409,VAV
7410,VAV
10451,VAV
997,UBE2
7319,UBE2
7320,UBE2
11065,UBE2
7321,UBE2
7322,UBE2
7323,UBE2
51619,UBE2
7324,UBE2
7325,UBE2
10477,UBE2
140739,UBE2
7326,UBE2
7327,UBE2
7328,UBE2
7329,UBE2
51465,UBE2
118424,UBE2
7332,UBE2
9246,UBE2
9040,UBE2
7334,UBE2
389898,UBE2
55585,UBE2
54926,UBE2
27338,UBE2
7335,UBE2
7336,UBE2
55284,UBE2
7296,TXNRD
10587,TXNRD
114112,TXNRD
7295,TXN
25828,TXN
51174,Tubulin
51175,Tubulin
7846,Tubulin
10376,Tubulin
84790,Tubulin
7278,Tubulin
113457,Tubulin
112714,Tubulin
7277,Tubulin
51807,Tubulin
79861,Tubulin
203068,Tubulin
81027,Tubulin
7280,Tubulin
347733,Tubulin
10381,Tubulin
10382,Tubulin
10383,Tubulin
84617,Tubulin
7283,Tubulin
27175,Tubulin
51174,Tubulin
51175,Tubulin
7471,Tubulin
7472,Tubulin
7482,Tubulin
7473,Tubulin
89780,Tubulin
54361,Tubulin
7474,Tubulin
81029,Tubulin
7475,Tubulin
7476,Tubulin
7477,Tubulin
7478,Tubulin
7479,Tubulin
7483,Tubulin
7484,Tubulin
80326,Tubulin
7480,Tubulin
7481,Tubulin
51384,Tubulin
7295,Tubulin
25828,Tubulin
7296,Tubulin
10587,Tubulin
114112,Tubulin
997,Tubulin
7319,Tubulin
7320,Tubulin
11065,Tubulin
7321,Tubulin
7322,Tubulin
7323,Tubulin
51619,Tubulin
7324,Tubulin
7325,Tubulin
10477,Tubulin
140739,Tubulin
7326,Tubulin
7327,Tubulin
7328,Tubulin
7329,Tubulin
51465,Tubulin
118424,Tubulin
7332,Tubulin
9246,Tubulin
9040,Tubulin
7334,Tubulin
389898,Tubulin
55585,Tubulin
54926,Tubulin
27338,Tubulin
7335,Tubulin
7336,Tubulin
55284,Tubulin
7409,Tubulin
7410,Tubulin
10451,Tubulin
7422,Tubulin
7423,Tubulin
7424,Tubulin
2277,Tubulin
5228,Tubulin
2321,Tubulin
2324,Tubulin
3791,Tubulin
4904,Tubulin
51087,Tubulin
8531,Tubulin
7471,Tubulin
7482,Tubulin
7472,Tubulin
7473,Tubulin
89780,Tubulin
54361,Tubulin
7474,Tubulin
81029,Tubulin
7475,Tubulin
7476,Tubulin
7477,Tubulin
7478,Tubulin
7479,Tubulin
7483,Tubulin
7484,Tubulin
80326,Tubulin
7480,Tubulin
7481,Tubulin
