n_bioentities,entrez_id
EIF4EBP,1978
EIF4EBP,1979
EIF4EBP,8637
Actin,58
Actin,59
Actin,60
Actin,70
Actin,71
Actin,72
Activin A,3624
Activin AB,3624
Activin AB,3625
Activin B,3625
Inhibin A,3623
Inhibin A,3624
Inhibin B,3623
Inhibin B,3625
AKT,207
AKT,208
AKT,10000
AMPK alpha,5562
AMPK alpha,5563
AMPK beta,5564
AMPK beta,5565
AMPK gamma,5571
AMPK gamma,51422
AMPK gamma,53632
AMPK A1B1G1,5562
AMPK A1B1G1,5564
AMPK A1B1G1,5571
AMPK A1B1G2,5562
AMPK A1B1G2,5564
AMPK A1B1G2,51422
AMPK A1B1G3,5562
AMPK A1B1G3,5564
AMPK A1B1G3,53632
AMPK A1B2G1,5562
AMPK A1B2G1,5565
AMPK A1B2G1,5571
AMPK A1B2G2,5562
AMPK A1B2G2,5565
AMPK A1B2G2,51422
AMPK A1B2G3,5562
AMPK A1B2G3,5565
AMPK A1B2G3,53632
AMPK A2B1G1,5563
AMPK A2B1G1,5564
AMPK A2B1G1,5571
AMPK A2B1G2,5563
AMPK A2B1G2,5564
AMPK A2B1G2,51422
AMPK A2B1G3,5563
AMPK A2B1G3,5564
AMPK A2B1G3,53632
AMPK A2B2G1,5563
AMPK A2B2G1,5565
AMPK A2B2G1,5571
AMPK A2B2G2,5563
AMPK A2B2G2,5565
AMPK A2B2G2,51422
AMPK A2B2G3,5563
AMPK A2B2G3,5565
AMPK A2B2G3,53632
FOS family,2353
FOS family,2354
FOS family,8061
FOS family,2355
JUN family,3725
JUN family,3726
JUN family,3727
Caspase,834
Caspase,835
Caspase 3 7,836
Caspase,837
Caspase,838
Caspase,839
Caspase 3 7,840
Caspase,841
Caspase,842
Caspase,843
Caspase,100506742
Caspase,23581
CD3,915
CD3,916
CD3,917
CDK,8814
CDK,8999
CDK,51265
CDK,344387
CDK,6792
CDK,983
CDK,1017
CDK,1018
CDK,1019
CDK,1020
CDK,1021
CDK,1022
CDK,1024
CDK,1025
CDK,8558
CDK,728642
CDK,984
CDK,51755
CDK,8621
CDK,5218
CDK,65061
CDK,5127
CDK,5128
CDK,5129
CDK,23097
CDK,23552
CSNK2,1457
CSNK2,1459
CK2,1457
CK2,1459
CK2,1460
CSNK1,1452
CSNK1,122011
CSNK1,1453
CSNK1,1454
CSNK1,53944
CSNK1,1455
CSNK1,1456
Cofilin,1072
Cofilin,1073
Cofilin,11034
CREB,1385
CREB,1386
CREB,10488
CREB,9586
CREB,90993
CREB,64764
CREB,84699
CREB,148327
Cyclin A,8900
Cyclin A,890
Cyclin,891
Cyclin,9133
Cyclin,85417
Cyclin,892
Cyclin D,595
Cyclin D,894
Cyclin D,896
Cyclin E,898
Cyclin E,9134
Cyclin,899
Cyclin,900
Cyclin,901
Cyclin,902
Cyclin,10983
Cyclin,645121
Cyclin,54619
Cyclin,79616
Cyclin,8812
Cyclin,57018
Cyclin,81669
Cyclin,10309
Cyclin,904
Cyclin,905
Cyclin,219771
Cyclin,151195
Cyclin,151195
ERK,5594
ERK,5595
FGFR,2260
FGFR,2263
FGFR,2261
FGFR,2264
FGFR,53834
GSK3,2931
GSK3,2932
HDAC I,3065
HDAC I,3066
HDAC I,8841
HDAC I,55869
HDAC II,9759
HDAC II,10014
HDAC II,51564
HDAC II,9734
HDAC II,10013
HDAC II,83933
HDAC III,23411
HDAC III,22933
HDAC III,23410
HDAC III,23409
HDAC III,23408
HDAC III,51548
HDAC III,51547
HDAC IV,79885
HIF1,3091
HIF1,405
HIF alpha,3091
HIF alpha,2034
HIF alpha,64344
HIF beta,405
HIF beta,9915
HIF beta,406
HSP90AA,3320
HSP90A,3326
HSP90,7184
HSP90,10131
Histone H1,3005
Histone H1,132243
Histone H1,8971
Histone H1,3024
Histone H1,3009
Histone H1,3006
Histone H1,3007
Histone H1,3008
Histone H1,3010
Histone H1,341567
Histone H2A,474382
Histone H2A,55766
Histone H2A,94239
Histone H2A,3014
Histone H2A,9555
Histone H2A,55506
Histone H2A,3015
Histone H2A,221613
Histone H2A,8334
Histone H2A,3013
Histone H2A,85235
Histone H2A,8331
Histone H2A,317772
Histone H2A,8338
Histone H2A,92815
Histone H2B,255626
Histone H2B,3018
Histone H2B,3017
Histone H2B,8345
Histone H2B,8970
Histone H2B,85236
Histone H2B,8340
Histone H2B,8342
Histone H2B,8341
Histone H2B,8348
Histone H2B,8338
Histone H2B,8338
Histone H2B,8349
Histone H2B,440689
Histone H2B,128312
Histone H2B,54145
Histone H2B,286436
Histone H2B,158983
Histone H3,8290
Histone H3,440093
Histone H4,8369
STAT,6772
STAT,6773
STAT,6774
STAT,6775
STAT5,6776
STAT5,6777
STAT,6778
PDGF,5154
PDGF,5155
PDGF,56034
PDGF,80310
PDGF AA,5154
PDGF AB,5154
PDGF AB,5155
PDGF BB,5155
PDGF CC,56034
PDGF DD,80310
PDGFR,5156
PDGFR,5159
PDGFR AA,5156
PDGFR AB,5156
PDGFR AB,5159
PDGFR BB,5159
G i alpha,2775
G i alpha,2770
G i alpha,2771
G i alpha,2773
G i alpha,2779
G i alpha,2780
G i alpha,346562
G i alpha,2781
G s alpha,2778
G s alpha,2774
G q alpha,2776
G q alpha,2767
G q alpha,9630
G q alpha,2769
G 12 alpha,2768
G 12 alpha,10672
APC C,29882
APC C,51529
APC C,64682
APC C,8881
APC C,996
APC C,8697
APC C,51433
APC C,10393
APC C,25906
APC C,25847
APC C,246184
APC C,119504
APC C,51434
APC C,29945
ERBB,1956
ERBB,2064
ERBB,2065
ERBB,2066
EIF4G,1981
EIF4G,1982
EIF4G,8672
NFAT,4772
NFAT,4773
NFAT,4775
NFAT,4776
NFAT,10725
GYS,2997
GYS,2998
TUBA,7846
TUBA,10376
TUBA,84790
TUBA,7278
TUBA,113457
TUBA,112714
TUBA,7277
TUBA,51807
TUBA,79861
TUBB,203068
TUBB,81027
TUBB,7280
TUBB,347733
TUBB,10381
TUBB,10382
TUBB,10383
TUBB,84617
TUBG,7283
TUBG,27175
Tubulin,51174
Tubulin,51175
JAK,3716
JAK,3717
JAK,3718
JAK,7297
CD8,925
CD8,926
LDH,3939
LDH,3945
LDH,3948
P90RSK,6195
P90RSK,6196
P90RSK,6197
P90RSK,8986
P90RSK,9252
P90RSK,27330
P70S6K,6198
P70S6K,6199
P70S6K,6199
NFkappaB 2,5970
NFkappaB 2,5971
NFkappaB 2,5966
NFkappaB 1,4790
NFkappaB 1,4791
TLR,7096
TLR,7097
TLR,7098
TLR,7099
TLR,7100
TLR,10333
TLR,51284
TLR,51311
TLR,54106
TLR,81793
SWI SNF,8289
SWI SNF,57492
SWI SNF,6594
SWI SNF,6595
SWI SNF,6597
SWI SNF,8467
SWI SNF,6598
SWI SNF,6599
SWI SNF,6601
SWI SNF,6602
SWI SNF,6603
SWI SNF,6604
SWI SNF,6605
SWI SNF,86
SWI SNF,51412
SWI SNF,6596
BMP,649
BMP,650
BMP,651
BMP,652
BMP,653
BMP,654
BMP,655
BMP,353500
BMP,656
BMP,27302
BMP,9210
IL12,3592
IL12,3593
IL1,3552
IL1,3553
SOD,6647
SOD,6648
SOD,6649
TSC,7248
TSC,7249
FOXO,2308
FOXO,2309
FOXO,4303
FOXO,100132074
MMP,4312
MMP,4313
MMP,4314
MMP,4316
MMP,4317
MMP,4318
MMP,4319
MMP,4320
MMP,4321
MMP,4322
MMP,4323
MMP,4324
MMP,4325
MMP,4326
MMP,4327
MMP,9313
MMP,118856
MMP,8510
MMP,10893
MMP,64386
MMP,64386
MMP,64066
MMP,79148
ACC,31
ACC,32
MAP1LC3,84557
MAP1LC3,81631
MAP1LC3,643246
MAP1LC3,440738
IFNA,3439
IFNA,3440
IFNA,3441
IFNA,3442
IFNA,3443
IFNA,3444
IFNA,3445
IFNA,3446
IFNA,3447
IFNA,3448
IFNA,3449
IFNA,3451
IFNA,3452
IFNB,3456
Interferon,56832
Interferon,3467
Death receptor,7132
Death receptor,7133
Death receptor,8797
Death receptor,8795
Death receptor,8794
Death receptor,8793
Death receptor,355
TNFRSF,7132
TNFRSF,7133
TNFRSF,7293
TNFRSF,943
TNFRSF,3604
TNFRSF,8797
TNFRSF,8795
TNFRSF,8794
TNFRSF,8793
TNFRSF,8792
TNFRSF,4982
TNFRSF,51330
TNFRSF,23495
TNFRSF,115650
TNFRSF,8764
TNFRSF,608
TNFRSF,8784
TNFRSF,55504
TNFRSF,27242
TNFRSF,8718
FGF,2246
FGF,2247
FGF,2248
FGF,2249
FGF,2250
FGF,2251
FGF,2252
FGF,2253
FGF,2254
FGF,2255
FGF,2256
FGF,2257
FGF,2258
FGF,2259
FGF,8823
FGF,8822
FGF,8817
FGF,9965
FGF,26281
FGF,26291
FGF,27006
FGF,8074
Wnt,7471
Wnt,7472
Wnt,7482
Wnt,7473
Wnt,89780
Wnt,54361
Wnt,7474
Wnt,81029
Wnt,7475
Wnt,7476
Wnt,7477
Wnt,7478
Wnt,7479
Wnt,7483
Wnt,7484
Wnt,80326
Wnt,7480
Wnt,7481
Wnt,51384
RAF,369
RAF,673
RAF,5894
MAP3K,4214
MAP3K,10746
MAP3K,4215
MAP3K,4216
MAP3K,4217
MAP3K,9064
MAP3K,6885
MAP3K,1326
MAP3K,4293
MAP3K,4294
MAP3K,4296
MAP3K,7786
MAP3K,9175
MAP3K,9020
MAP3K,389840
MAP3K,57551
MAP3K,9344
MAP3K,51347
MAP3K,80122
MAP3K,51776
MAP3K,84451
BRCA,672
BRCA,675
CNKSR,10256
CNKSR,22866
DUSP,1843
DUSP,1844
DUSP,1845
DUSP,1846
DUSP,1847
DUSP,1848
ETS,2113
ETS,2114
EXOC,55763
EXOC,55770
EXOC,11336
EXOC,60412
EXOC,10640
EXOC,54536
EXOC,23265
EXOC,149371
FANC,2175
FANC,2187
FANC,2176
FANC,675
FANC,2177
FANC,2178
FANC,2188
FANC,2189
FANC,55215
FANC,83990
FANC,55120
FANC,57697
FANC,79728
FANC,5889
FANC,84464
FANC,2072
FANC,5888
FANC,672
FANC,29089
FANC,7516
FNT,2339
FNT,2342
RAS,3845
RAS,3265
RAS,4893
KSR,8844
KSR,283455
MEK,5604
MEK,5605
MAP2K,5606
MAP2K,6416
MAP2K,5607
MAP2K,5608
MAP2K,5609
MCM,4171
MCM,4172
MCM,4173
MCM,4174
MCM,4175
MCM,4176
MCM,84515
MCM,254394
MCM,157777
PAK,5058
PAK,5062
PAK,5063
PAK,10298
PAK,57144
PAK,56924
RAC,5879
RAC,5880
RAC,5881
RAC,391
RAL,5898
RAL,5899
RAPGEF,2889
RAPGEF,9693
RASA,5921
RASA,5922
RASA,22821
RASAL,8437
RASAL,9462
RASAL,64926
RASGRF,5923
RASGRF,5924
RASGRP,10125
RASGRP,10235
RASGRP,25780
RASGRP,115727
RASSF,11186
RASSF,9770
RASSF,283349
RASSF,83937
RASSF,83593
RASSF,166824
RASSF,8045
RASSF,11228
RASSF,9182
RASSF,644943
RGL,23179
RGL,5863
RGL,57139
RHO,387
RHO,388
RHO,389
ROCK,6093
ROCK,9475
SHC,6464
SHC,25759
SHC,53358
SHC,399694
SOS,6654
SOS,6655
SPRY,10252
SPRY,10253
SPRY,10251
SPRY,81848
TFDP,7027
TFDP,7029
TIAM,7074
TIAM,26230
SPRED,161742
SPRED,200734
SPRED,399473
hCG,1081
hCG,1082
SAA,6288
SAA,6289
SAA,6291
p38,5600
p38,6300
p38,5603
p38,1432
p14 3 3,2810
p14 3 3,7529
p14 3 3,7531
p14 3 3,7532
p14 3 3,7533
p14 3 3,10971
p14 3 3,7534
Sulfonylurea receptor,6833
Sulfonylurea receptor,10060
ACAD,27034
ACAD,28976
ACAD,33
ACAD,34
ACAD,35
ACAD,37
ACAD,80724
ACAD,84129
ACAD,36
ACAD,2639
ACAD,3712
Acetyl CoA synthetase,11001
Acetyl CoA synthetase,2180
Acetyl CoA synthetase,2181
Acetyl CoA synthetase,2182
Acetyl CoA synthetase,51703
Acetyl CoA synthetase,23305
ACOX,51
ACOX,8309
ACOX,8310
ACOX,55289
ACSL,2180
ACSL,2181
ACSL,2182
ACSL,51703
ACSL,23305
ACTN,87
ACTN,88
ACTN,89
ACTN,81
ADCY,107
ADCY,108
ADCY,109
ADCY,196883
ADCY,111
ADCY,112
ADCY,113
ADCY,114
ADCY,115
ADCY,55811
ADH,124
ADH,125
ADH,126
ADH,127
ADH,128
ADH,130
ADH,131
ADH,137872
ADRA,148
ADRA,147
ADRA,146
ADRA,150
ADRA,151
ADRA,152
ADRA2,150
ADRA2,151
ADRA2,152
ADRB,153
ADRB,154
ADRB,155
ADRBK,156
ADRBK,157
ALDH,216
ALDH,8854
ALDH,220
ALDH,217
ALDH,218
ALDH,224
ALDH,221
ALDH,7915
ALDH,501
ALDH,223
ALDO,226
ALDO,229
ALDO,230
APOA,335
APOA,336
APOA,337
APOA,116519
Apolipoprotein,348
ARRB,408
ARRB,409
ATP5G,514
ATP5G,514
ATP5G,514
AXIN,8312
AXIN,8313
BIRC,329
BIRC,330
BIRC,332
BIRC,57448
BIRC,79444
BIRC,112401
BIRC,4671
BIRC,331
BMP,2657
BMP,2658
BMP,9573
BMP,8200
BMP,392255
BMP,151449
BMP receptor type I,90
BMP receptor type I,657
BMP receptor type I,658
BMP receptor type II,92
BMP receptor type II,93
BMP receptor type II,659
CALM,801
CALM,805
CALM,808
CAMK,8536
CAMK,57118
CAMK,57172
CAMK2 family,815
CAMK2 family,816
CAMK2 family,817
CAMK2 family,818
CAMK,814
CAPN,823
CAPN,11132
CAPN,11131
CAPN,147968
CAPN,92291
CAPN,440854
CAPN,824
CAPN,825
CAPN,726
CAPN,827
CAPN,23473
CAPN,10753
CAPN,6650
