n_bioentities,entrez_id
CREB,466
CRISP,167
CRISP,7180
CRISP,10321
CTNNA,1495
CTNNA,1496
CTNNA,29119
CUL,8454
CUL,8453
CUL,8452
CUL,8451
CUL,8450
CUL,8065
CUL,9820
CXCL ELR negative,3627
CXCL ELR negative,6373
CXCL ELR negative,6387
CXCL ELR negative,10563
CXCL ELR negative,9547
CXCL ELR negative,4283
CXCL ELR negative,5196
CXCL ELR positive,2919
CXCL ELR positive,2920
CXCL ELR positive,2921
CXCL ELR positive,6374
CXCL ELR positive,6372
CXCL ELR positive,3576
CXCL ELR positive,5473
Cyclophilin,10283
Cyclophilin,5478
Cyclophilin,5479
Cyclophilin,5480
Cyclophilin,5481
Cyclophilin,10450
Cyclophilin,10105
Cyclophilin,10465
Cyclophilin,51645
Cyclophilin,23759
Cyclophilin,53938
Cyclophilin,85313
Cyclophilin,285755
Cyclophilin,23398
Cyclophilin,653505
Cyclophilin,653598
Cyclophilin,644591
DDR,780
DDR,4921
Desmoglein,1828
Desmoglein,1829
Desmoglein,1830
Desmoglein,147409
DGK,1606
DGK,1607
DGK,8527
DGK,1608
DGK,160851
DGK,1609
DGK,8525
DGK,8526
DGK,9162
DGK,139189
DNM,1759
DNM,1785
DNM,26052
DNM,26052
DRD,1812
DRD,1813
DRD,1814
DRD,1815
DRD,1816
DVL,1855
DVL,1856
DVL,1857
E2F,1869
E2F,1870
E2F,1871
E2F,1874
E2F,1875
E2F,1876
E2F,144455
E2F,79733
EDN,1906
EDN,1907
EDN,1908
EGFR ligand,374
EGFR ligand,1950
EGFR ligand,7039
EGFR ligand,1839
EGFR ligand,685
EGFR ligand,2069
EGFR ligand,255324
EGR,1958
EGR,1959
EGR,1960
EGR,1961
EIF4A,1973
EIF4A,1974
EIF4A,9775
ELA,566
ELA,1990
ELA,63036
ELA,51032
ELA,10136
ELA,23436
ELA,11330
ELA,1991
ELA,5657
ENO,2023
ENO,2026
ENO,2027
ENO,387712
Ephrin receptor,2041
Ephrin receptor,1969
Ephrin receptor,2042
Ephrin receptor,2043
Ephrin receptor,2044
Ephrin receptor,285220
Ephrin receptor,2045
Ephrin receptor,2046
Ephrin receptor,2047
Ephrin receptor,2048
Ephrin receptor,2049
Ephrin receptor,2050
Ephrin receptor,2051
Ephrin receptor,284656
EPN,29924
EPN,22905
EPN,55040
EPN,9685
ESR,2099
ESR,2100
FLOT,10211
FLOT,2319
FLRT,23769
FLRT,23768
FLRT,23767
FZD,8321
FZD,11211
FZD,2535
FZD,7976
FZD,8322
FZD,7855
FZD,8323
FZD,8324
FZD,8325
FZD,8326
GABR,2554
GABR,2555
GABR,2556
GABR,2557
GABR,2558
GABR,2559
GABR,2560
GABR,2561
GABR,2562
GABR,2563
GABR,2564
GABR,2565
GABR,2566
GABR,2567
GABR,2568
GABR,55879
GABR,2569
GABR,2570
GABR,200959
GAS6 receptor,558
GAS6 receptor,10461
GAS6 receptor,7301
GATA,2623
GATA,2624
GATA,2625
GATA,2626
GATA,140628
GATA,2627
G beta,2782
G beta,2783
G beta,2784
G beta,59345
G beta,10681
G gamma,2790
G gamma,2791
G gamma,55970
G gamma,51764
G gamma,54331
G gamma,2785
G gamma,2786
G gamma,2787
G gamma,2788
G gamma,94235
G gamma,2792
G gamma,2793
GPX,2876
GPX,2877
GPX,2878
GPX,2879
GPX,2880
GPX,257202
GPX,2882
GPX,493869
GRIA,2890
GRIA,2891
GRIA,2892
GRIA,2893
GRK,6011
GRK,2868
GRK,2869
GRK,2870
GRK,131890
GRM,2911
GRM,2912
GRM,2913
GRM,2914
GRM,2915
GRM,2916
GRM,2917
GRM,2918
GST,2938
GST,2939
GST,2940
GST,2941
GST,221357
GST,373156
GST,2944
GST,2946
GST,2947
GST,2948
GST,2949
GST,9446
GST,119391
GST,2950
GST,2950
GST,2953
GST,2954
GST,653689
GUCY,2984
GUCY,3000
GUCY,2986
GUCY,4881
GUCY,4882
Hedgehog,50846
Hedgehog,3549
Hedgehog,6469
HES,3280
HES,54626
HES,390992
HES,57801
HES,388585
HES,55502
HES,84667
HLA DR,3122
HLA DR,3123
HLA DR,3123
HLA DR,3123
HLA DR,3127
HMOX,3162
HMOX,3163
HSPA,259217
HSPA,116835
HSPA,6782
HSPA,51182
HSPA,3303
HSPA,3304
HSPA,3305
HSPA,3306
HSPA,3308
HSPA,22824
HSPA,3309
HSPA,3310
HSPA,3312
HSPA,3313
HSPA,10808
HSPA,10525
HSPB,3315
HSPB,3316
HSPB,26353
IGFBP,3484
IGFBP,3485
IGFBP,3486
IGFBP,3487
IGFBP,3488
IGFBP,3489
IGFBP,3490
IKK family,1147
IKK family,3551
IKK family,8517
IKK family,9641
IKK family,29110
INSR,3480
INS,3630
INSR,3643
INSR,3645
IRS,3667
IRS,8660
IRS,8471
IRX,79192
IRX,153572
IRX,79191
IRX,50805
IRX,10265
IRX,79190
IRX,283078
KLK,3816
KLK,5655
KLK,11012
KLK,43849
KLK,26085
KLK,43847
KLK,55554
KLK,3817
KLK,354
KLK,9622
KLK,25818
KLK,5653
KLK,5650
KLK,11202
KLK,284366
KLK,3818
MAF,4094
MAF,389692
MAF,9935
MAF,23764
MAF,4097
MAF,7975
JNK,5599
JNK,5601
JNK,5602
MEF2,4205
MEF2,4208
MEF2,4209
MEF2,100271849
MYH,4619
MYH,4628
MYH,4629
MYH,8735
MYH,79784
MYH,22989
MYH,4620
MYH,4621
MYH,4622
MYH,4624
MYH,4625
MYH,57644
MYH,4626
MYH,4627
MYH,4644
MYL alkali,4632
MYL alkali,4634
MYL alkali,4635
MYL alkali,4637
MYL alkali,140465
MYL regulatory,93408
MYL regulatory,10627
MYL regulatory,103910
MYL regulatory,4633
MYL regulatory,4636
MYL regulatory,58498
MYL regulatory,10398
MYL regulatory,29895
MYL slow,4633
MYL slow,4634
MYL slow,140465
MYST,84148
MYST,11143
MYST,7994
MYST,23522
MYST,10524
NCOA,8648
NCOA,10499
NCOA,8202
NCOR,9611
NCOR,9612
NDRG,10397
NDRG,57447
NDRG,57446
NDRG,65009
NKD,85407
NKD,85409
NOS,4842
NOS,4843
NOS,4846
Notch,4851
Notch,4853
Notch,4854
Notch,4855
NRG 1 2,3084
NRG 1 2,9542
NRG 3 4,10718
NRG 3 4,145957
NTRK,4914
NTRK,4915
NTRK,4916
P2RX,5023
P2RX,22953
P2RX,5024
P2RX,5025
P2RX,5026
P2RX,9127
P2RX,5027
P2RY,5028
P2RY,5029
P2RY,5030
P2RY,5031
P2RY,286530
P2RY,27334
P2RY,5032
P2RY,64805
P2RY,53829
P2RY,9934
P2RY,2846
P2RY,10161
PARV,55742
PARV,29780
PARV,64098
PBX,5087
PBX,5089
PBX,5090
PBX,80714
PDE1,5136
PDE1,5153
PDE1,5137
PDE,5138
PDE3,5139
PDE3,5140
PDE4,5141
PDE4,5142
PDE4,5143
PDE4,5144
PDE6,5145
PDE6,5158
PDE6,5146
PDE7,5150
PDE7,27115
PDE8,5151
PDE8,8622
PDE,5152
PDE,10846
PDE,50940
PDK,5163
PDK,5164
PDK,5165
PDK,5166
PFN,5216
PFN,5217
PFN,345456
PFN,375189
PI3K p110,5290
PI3K p110,5291
PI3K p110,5293
PI3K p110,5294
PI3K p85,5295
PI3K p85,5296
PIK3R I,8503
PIK3R I,30849
PIK3R I,23533
PIK3R I,146850
PKI,5569
PKI,5570
PKI,11142
PLA2,5319
PLA2G2,5320
PLA2G2,391013
PLA2G2,26279
PLA2G2,30814
PLA2G2,64600
PLA2,50487
PLA2G4,5321
PLA2G4,8605
PLA2G4,283748
PLA2,5322
PLA2,8398
PLA2,7941
PLA2,8399
PLA2,81579
PLA2,84647
PLCB,23236
PLCB,5330
PLCB,5331
PLCB,5332
PLCD,5333
PLCD,113026
PLCD,84812
PLC,51196
PLCG,5335
PLCG,5336
PLC,89869
PLD,5337
PLD,5338
PLD,23646
PLD,122618
PLD,200150
PLD,201164
PPAP2,8611
PPAP2,8612
PPAP2,8613
PPAR,5465
PPAR,5467
PPAR,5468
PPP1C,5499
PPP1C,5500
PPP1C,5501
PPP1R,5514
PPP1R,6992
PPP1R,4659
PPP1R,4660
PPP1R,54776
PPP1R,23368
PPP1R,94274
PPP1R,26472
PPP1R,81706
PPP1R,54866
PPP1R,23645
PPP1R,84919
PPP1R,84988
PPP1R,26051
PPP1R,5502
PPP1R,84152
PPP1R,151242
PPP1R,5504
PPP1R,5506
PPP1R,79660
PPP1R,5507
PPP1R,5509
PPP1R,89801
PPP1R,5510
PPP1R,5511
PPP1R,55607
PPP1R,84687
PPP2C,333926
PPP2C,5515
PPP2C,5516
PPP2R A,5518
PPP2R A,5519
PPP2R B,5520
PPP2R B,5521
PPP2R B,5522
PPP2R B,55844
PPP2R B,5523
PPP2R B,28227
PPP2R B,5524
PPP2R B,5525
PPP2R B,5526
PPP2R B,5527
PPP2R B,5528
PPP2R B,5529
PPP3C,5530
PPP3C,5532
PPP3C,5533
PPP3R,5534
PPP3R,5535
PRDX,5052
PRDX,7001
PRDX,10935
PRDX,10549
PRDX,25824
PRDX,9588
PRKAR,5573
PRKAR,5575
PRKAR,5576
PRKAR,5577
PRKAC,5566
PRKAC,5567
PRKAC,5568
PKC,5578
PKC,5579
PKC,5580
PKC,5581
PKC,5582
PKC,5583
PKC,5584
PKC,5588
PKC,5590
PKC,23683
PRKG,5592
PRKG,5593
PTGER,5731
PTGER,5732
PTGER,5733
PTGER,5734
RAB,10890
RAB,8766
RAB,9230
RAB,201475
RAB,5872
RAB,51552
RAB,376267
RAB,64284
RAB,22931
RAB,401409
RAB,5861
RAB,81876
RAB,81876
RAB,55647
RAB,23011
RAB,57403
RAB,51715
RAB,53917
RAB,57111
RAB,25837
RAB,5873
RAB,5874
RAB,9364
RAB,5862
RAB,84932
RAB,27314
RAB,11031
RAB,10981
RAB,9363
RAB,83452
RAB,83871
RAB,11021
RAB,9609
RAB,326624
RAB,23682
RAB,54734
RAB,116442
RAB,5864
RAB,5865
RAB,115827
RAB,9545
RAB,142684
RAB,282808
RAB,10966
RAB,57799
RAB,347517
RAB,115273
RAB,339122
RAB,401258
RAB,5867
RAB,53916
RAB,5868
RAB,5869
RAB,5878
RAB,5870
RAB,51560
RAB,84084
RAB,7879
RAB,338382
RAB,8934
RAB,4218
RAB,51762
RAB,9367
RAB,51209
RAB,11159
RAB,11158
RAB,285282
RAB,64792
RAR,5914
RAR,5915
RAR,5916
RFX,5989
RFX,5990
RFX,5991
RFX,5992
RFX,5993
RFX,222546
RFX,64864
RFX,731220
ROR,4919
ROR,4920
RXR,6256
RXR,6257
RXR,6258
S100A,388697
S100A,6271
S100A,6281
S100A,6282
S100A,6283
S100A,6284
S100A,57402
S100A,140576
S100A,6273
S100A,6274
S100A,6275
S100A,6276
S100A,6277
S100A,6278
S100A,338324
S100A,6279
S100A,6280
S100A,126637
S1PR,1901
S1PR,9294
S1PR,1903
S1PR,8698
S1PR,53637
SCD,6319
SCD,79966
SERPINB,1992
SERPINB,5055
SERPINB,6317
SERPINB,6318
SERPINB,5268
SERPINB,5269
SERPINB,8710
SERPINB,5271
SERPINB,5272
SERPINB,5273
SERPINB,89778
SERPINB,89777
SERPINB,5275
SLC2A,6513
SLC2A,6514
SLC2A,6515
SLC2A,6517
SLC2A,6518
SLC2A,11182
SLC2A,155184
SLC2A,29988
SLC2A,56606
SLC2A,81031
SLC2A,66035
SLC2A,154091
SLC2A,144195
SMAD,4086
SMAD2 3,4087
SMAD2 3,4088
SMAD,4089
SMAD,4090
SMAD,4091
SMAD,4092
SMAD,4093
SMC1,8243
SMC1,27127
SNAI,6615
SNAI,6591
SNAI,333929
SRC,2268
SRC,2534
SRC,6714
SRC,7525
SREBF,6720
SREBF,6721
TAP,6890
TAP,6891
TAP,23457
TCF LEF,51176
TCF LEF,6932
TCF LEF,83439
TCF LEF,6934
TFAP2,7020
TFAP2,7021
TFAP2,7022
TFAP2,83741
TFAP2,339488
TGFB,7040
TGFB,7042
TGFB,7043
TGFBR,7046
TGFBR,7048
TGFBR,7049
THBS,7057
THBS,7058
THBS,7059
THBS,7060
THBS,1311
THR,7067
THR,7068
TN,3371
TN,63923
TN,7143
TN,7148
TOP2,7153
TOP2,7155
Tryptase,7177
